chromosome,window_pos_1,window_pos_2,fst_FvsMono,fst_chemotypes_femalesOnly,fst_FvsMono_outlier,fst_chemotypes_femalesOnly_outlier
Chr01,1970000,2070000,0.092326929,0.048204166,Not,Not
Chr01,1980000,2080000,0.095816101,0.044618159,Not,Not
Chr01,1990000,2090000,0.089154792,0.037792648,Not,Not
Chr01,2000000,2100000,0.097346964,0.036694916,Not,Not
Chr01,2010000,2110000,0.103799908,0.033516058,Not,Not
Chr01,2020000,2120000,0.129910551,0.034178092,Not,Not
Chr01,2030000,2130000,0.137681967,0.03954165,Not,Not
Chr01,2040000,2140000,0.138569767,0.03668035,Not,Not
Chr01,2050000,2150000,0.18757074,0.058697122,Not,Not
Chr01,2060000,2160000,0.205021291,0.086391931,Not,Not
Chr01,2070000,2170000,0.19190388,0.100622877,Not,Not
Chr01,2080000,2180000,0.19190388,0.100622877,Not,Not
Chr01,2090000,2190000,0.19190388,0.100622877,Not,Not
Chr01,2100000,2200000,0.171018836,0.114854166,Not,Not
Chr01,2110000,2210000,0.144169541,0.143682742,Not,Not
Chr01,2120000,2220000,0.108798467,0.146565318,Not,Not
Chr01,2130000,2230000,0.078678387,0.130035614,Not,Not
Chr01,2140000,2240000,0.073498139,0.123459969,Not,Not
Chr01,2150000,2250000,0.074955285,0.125761156,Not,Not
Chr01,2160000,2260000,0.081525018,0.100058296,Not,Not
Chr01,2170000,2270000,0.162023505,0.055844016,Not,Not
Chr01,2180000,2280000,0.137533766,0.052981823,Not,Not
Chr01,2190000,2290000,0.061879449,0.056661093,Not,Not
Chr01,2200000,2300000,0.061879449,0.056661093,Not,Not
Chr01,2210000,2310000,0.061879449,0.056661093,Not,Not
Chr01,2220000,2320000,0.058890646,0.062228424,Not,Not
Chr01,2230000,2330000,0.061839316,0.06657967,Not,Not
Chr01,2240000,2340000,0.063756812,0.06758791,Not,Not
Chr01,2250000,2350000,0.075893327,0.087741359,Not,Not
Chr01,2260000,2360000,0.092366101,0.098907174,Not,Not
Chr01,2270000,2370000,0.07240341,0.092338956,Not,Not
Chr01,2280000,2380000,0.091562489,0.079076215,Not,Not
Chr01,2290000,2390000,0.121006704,0.076189605,Not,Not
Chr01,2300000,2400000,0.120763003,0.076066359,Not,Not
Chr01,2310000,2410000,0.120763003,0.076066359,Not,Not
Chr01,2320000,2420000,0.120932473,0.07617275,Not,Not
Chr01,2330000,2430000,0.1208236,0.076068445,Not,Not
Chr01,2340000,2440000,0.111073411,0.03970203,Not,Not
Chr01,2350000,2450000,0.117226116,0.028655418,Not,Not
Chr01,2360000,2460000,0.125819802,0.043072709,Not,Not
Chr01,2370000,2470000,0.124093556,0.043462744,Not,Not
Chr01,2380000,2480000,0.142235535,0.052994468,Not,Not
Chr01,2390000,2490000,0.150089734,0.055181148,Not,Not
Chr01,2400000,2500000,0.154413032,0.056445973,Not,Not
Chr01,2410000,2510000,0.149654357,0.062120739,Not,Not
Chr01,2420000,2520000,0.146127614,0.067929389,Not,Not
Chr01,2430000,2530000,0.134800718,0.073997671,Not,Not
Chr01,2440000,2540000,0.131379697,0.080326121,Not,Not
Chr01,2450000,2550000,0.127806569,0.08902156,Not,Not
Chr01,2460000,2560000,0.107246306,0.081427559,Not,Not
Chr01,2470000,2570000,0.100247821,0.080972628,Not,Not
Chr01,2480000,2580000,0.088361243,0.080044763,Not,Not
Chr01,2490000,2590000,0.098283572,0.067461604,Not,Not
Chr01,2500000,2600000,0.091106341,0.064105032,Not,Not
Chr01,2510000,2610000,0.091079044,0.062531894,Not,Not
Chr01,2520000,2620000,0.089123675,0.059640068,Not,Not
Chr01,2530000,2630000,0.090932646,0.054452874,Not,Not
Chr01,2540000,2640000,0.088743017,0.060738471,Not,Not
Chr01,2550000,2650000,0.086283357,0.053692956,Not,Not
Chr01,2560000,2660000,0.088262366,0.050647219,Not,Not
Chr01,2570000,2670000,0.095120536,0.043750253,Not,Not
Chr01,2580000,2680000,0.088916111,0.033316925,Not,Not
Chr01,2590000,2690000,0.081276157,0.041305621,Not,Not
Chr01,2600000,2700000,0.086721372,0.040093752,Not,Not
Chr01,2610000,2710000,0.092183416,0.038946604,Not,Not
Chr01,2620000,2720000,0.098401546,0.04071587,Not,Not
Chr01,2630000,2730000,0.089140528,0.034829219,Not,Not
Chr01,2640000,2740000,0.093407705,0.027501811,Not,Not
Chr01,2650000,2750000,0.099027613,0.027657184,Not,Not
Chr01,2660000,2760000,0.109498589,0.028539351,Not,Not
Chr01,2670000,2770000,0.111774789,0.029954978,Not,Not
Chr01,2680000,2780000,0.131639035,0.034117503,Not,Not
Chr01,2690000,2790000,0.11857468,0.027669413,Not,Not
Chr01,2700000,2800000,0.143078078,0.026501578,Not,Not
Chr01,2710000,2810000,0.167224125,0.025051956,Not,Not
Chr01,2720000,2820000,0.174233129,0.022882593,Not,Not
Chr01,2730000,2830000,0.200992381,0.028600869,Not,Not
Chr01,2740000,2840000,0.211881163,0.027874451,Not,Not
Chr01,2750000,2850000,0.236210276,0.032230521,Not,Not
Chr01,2760000,2860000,0.22697514,0.035724078,Not,Not
Chr01,2770000,2870000,0.219311237,0.038466023,Not,Not
Chr01,2780000,2880000,0.203804651,0.04751557,Not,Not
Chr01,2790000,2890000,0.203834579,0.057871889,Not,Not
Chr01,2800000,2900000,0.171827385,0.092269498,Not,Not
Chr01,2810000,2910000,0.151745093,0.090531181,Not,Not
Chr01,2820000,2920000,0.152677154,0.08600449,Not,Not
Chr01,2830000,2930000,0.1480979,0.087988221,Not,Not
Chr01,2840000,2940000,0.141259334,0.086530797,Not,Not
Chr01,2850000,2950000,0.109160189,0.090389446,Not,Not
Chr01,2860000,2960000,0.10580899,0.094432672,Not,Not
Chr01,2870000,2970000,0.100978317,0.09762476,Not,Not
Chr01,2880000,2980000,0.103611287,0.096781903,Not,Not
Chr01,2890000,2990000,0.105241338,0.09936304,Not,Not
Chr01,2900000,3000000,0.10985021,0.075364865,Not,Not
Chr01,2910000,3010000,0.108288476,0.082029253,Not,Not
Chr01,2920000,3020000,0.086620833,0.083455709,Not,Not
Chr01,2930000,3030000,0.086435532,0.082738638,Not,Not
Chr01,2940000,3040000,0.08254519,0.086581155,Not,Not
Chr01,2950000,3050000,0.079453527,0.082821052,Not,Not
Chr01,2960000,3060000,0.071886319,0.067706867,Not,Not
Chr01,2970000,3070000,0.077337755,0.0615666,Not,Not
Chr01,2980000,3080000,0.075822595,0.053529181,Not,Not
Chr01,2990000,3090000,0.08484156,0.047045482,Not,Not
Chr01,3000000,3100000,0.086197191,0.046677345,Not,Not
Chr01,3010000,3110000,0.078607706,0.043473125,Not,Not
Chr01,3020000,3120000,0.096539183,0.040605374,Not,Not
Chr01,3030000,3130000,0.105810913,0.037748352,Not,Not
Chr01,3040000,3140000,0.109368479,0.035323728,Not,Not
Chr01,3050000,3150000,0.107645998,0.03040925,Not,Not
Chr01,3060000,3160000,0.123484651,0.031281469,Not,Not
Chr01,3070000,3170000,0.135704433,0.03194035,Not,Not
Chr01,3080000,3180000,0.147010016,0.038055826,Not,Not
Chr01,3090000,3190000,0.144368239,0.048751474,Not,Not
Chr01,3100000,3200000,0.142565498,0.052067986,Not,Not
Chr01,3110000,3210000,0.128327584,0.055165171,Not,Not
Chr01,3120000,3220000,0.124477666,0.061121386,Not,Not
Chr01,3130000,3230000,0.12879005,0.064489955,Not,Not
Chr01,3140000,3240000,0.139365075,0.066341268,Not,Not
Chr01,3150000,3250000,0.150869706,0.071554682,Not,Not
Chr01,3160000,3260000,0.167564133,0.076682626,Not,Not
Chr01,3170000,3270000,0.162245195,0.079792402,Not,Not
Chr01,3180000,3280000,0.166953334,0.073958614,Not,Not
Chr01,3190000,3290000,0.170274073,0.06080714,Not,Not
Chr01,3200000,3300000,0.146699299,0.04921778,Not,Not
Chr01,3210000,3310000,0.167404249,0.045105482,Not,Not
Chr01,3220000,3320000,0.160833414,0.044647596,Not,Not
Chr01,3230000,3330000,0.138591882,0.055967255,Not,Not
Chr01,3240000,3340000,0.125072225,0.068367971,Not,Not
Chr01,3250000,3350000,0.118620237,0.068079823,Not,Not
Chr01,3260000,3360000,0.104256059,0.073621535,Not,Not
Chr01,3270000,3370000,0.103244639,0.082893211,Not,Not
Chr01,3280000,3380000,0.091242939,0.084132623,Not,Not
Chr01,3290000,3390000,0.08355212,0.084501723,Not,Not
Chr01,3300000,3400000,0.090777607,0.100752762,Not,Not
Chr01,3310000,3410000,0.089189049,0.100717281,Not,Not
Chr01,3320000,3420000,0.091929721,0.100711894,Not,Not
Chr01,3330000,3430000,0.105546586,0.096379212,Not,Not
Chr01,3340000,3440000,0.127286479,0.094452792,Not,Not
Chr01,3350000,3450000,0.136125878,0.108714279,Not,Not
Chr01,3360000,3460000,0.1474458,0.106698753,Not,Not
Chr01,3370000,3470000,0.158574518,0.081328331,Not,Not
Chr01,3380000,3480000,0.163527925,0.076735038,Not,Not
Chr01,3390000,3490000,0.165426862,0.083215715,Not,Not
Chr01,3400000,3500000,0.175287732,0.073674671,Not,Not
Chr01,3410000,3510000,0.178451743,0.072211551,Not,Not
Chr01,3420000,3520000,0.179564834,0.073379291,Not,Not
Chr01,3430000,3530000,0.194435155,0.075326747,Not,Not
Chr01,3440000,3540000,0.17381043,0.073265356,Not,Not
Chr01,3450000,3550000,0.218075217,0.056654096,Not,Not
Chr01,3460000,3560000,0.213243912,0.056167615,Not,Not
Chr01,3470000,3570000,0.207706888,0.058183021,Not,Not
Chr01,3480000,3580000,0.200132917,0.05462421,Not,Not
Chr01,3490000,3590000,0.209935186,0.050930261,Not,Not
Chr01,3500000,3600000,0.199526883,0.052157486,Not,Not
Chr01,3510000,3610000,0.16893644,0.048407419,Not,Not
Chr01,3520000,3620000,0.163865572,0.045014283,Not,Not
Chr01,3530000,3630000,0.143754469,0.040688312,Not,Not
Chr01,3540000,3640000,0.150140888,0.038629398,Not,Not
Chr01,3550000,3650000,0.115671717,0.04113078,Not,Not
Chr01,3560000,3660000,0.125437999,0.039935996,Not,Not
Chr01,3570000,3670000,0.12653405,0.050652985,Not,Not
Chr01,3580000,3680000,0.125161936,0.064501583,Not,Not
Chr01,3590000,3690000,0.121345037,0.070707238,Not,Not
Chr01,3600000,3700000,0.121156656,0.071795792,Not,Not
Chr01,3610000,3710000,0.13016207,0.075907543,Not,Not
Chr01,3620000,3720000,0.128390653,0.087440666,Not,Not
Chr01,3630000,3730000,0.127570913,0.101767431,Not,Not
Chr01,3640000,3740000,0.126725165,0.102331583,Not,Not
Chr01,3650000,3750000,0.118884897,0.101893428,Not,Not
Chr01,3660000,3760000,0.089491257,0.098473001,Not,Not
Chr01,3670000,3770000,0.089957271,0.082920216,Not,Not
Chr01,3680000,3780000,0.08026811,0.069199438,Not,Not
Chr01,3690000,3790000,0.085862728,0.058493456,Not,Not
Chr01,3700000,3800000,0.117615718,0.056615704,Not,Not
Chr01,3710000,3810000,0.124875434,0.057100248,Not,Not
Chr01,3720000,3820000,0.128314796,0.053158166,Not,Not
Chr01,3730000,3830000,0.126947454,0.049471686,Not,Not
Chr01,3740000,3840000,0.124874823,0.045921472,Not,Not
Chr01,3750000,3850000,0.125507526,0.048126162,Not,Not
Chr01,3760000,3860000,0.13359947,0.049108706,Not,Not
Chr01,3770000,3870000,0.133461043,0.053901538,Not,Not
Chr01,3780000,3880000,0.148449994,0.053848028,Not,Not
Chr01,3790000,3890000,0.148986193,0.054090266,Not,Not
Chr01,3800000,3900000,0.121628554,0.060462043,Not,Not
Chr01,3810000,3910000,0.148856115,0.070246418,Not,Not
Chr01,3820000,3920000,0.143510948,0.072656832,Not,Not
Chr01,3830000,3930000,0.136826736,0.075754481,Not,Not
Chr01,3840000,3940000,0.135664185,0.085359743,Not,Not
Chr01,3850000,3950000,0.124391537,0.082222238,Not,Not
Chr01,3860000,3960000,0.126517358,0.092846324,Not,Not
Chr01,3870000,3970000,0.124081774,0.087799847,Not,Not
Chr01,3880000,3980000,0.155455036,0.090995822,Not,Not
Chr01,3890000,3990000,0.162892955,0.092520488,Not,Not
Chr01,3900000,4000000,0.172813977,0.090588486,Not,Not
Chr01,3910000,4010000,0.154541743,0.08298746,Not,Not
Chr01,3920000,4020000,0.14908639,0.083302385,Not,Not
Chr01,3930000,4030000,0.154833173,0.078321565,Not,Not
Chr01,3940000,4040000,0.145997056,0.064844925,Not,Not
Chr01,3950000,4050000,0.146088851,0.062010255,Not,Not
Chr01,3960000,4060000,0.148666636,0.059130381,Not,Not
Chr01,3970000,4070000,0.150198078,0.058490262,Not,Not
Chr01,3980000,4080000,0.122722442,0.053727905,Not,Not
Chr01,3990000,4090000,0.111378476,0.054485264,Not,Not
Chr01,4000000,4100000,0.106013649,0.053205401,Not,Not
Chr01,4010000,4110000,0.102222236,0.053132862,Not,Not
Chr01,4020000,4120000,0.096449741,0.048125921,Not,Not
Chr01,4030000,4130000,0.082983944,0.058285115,Not,Not
Chr01,4040000,4140000,0.074443166,0.069758406,Not,Not
Chr01,4050000,4150000,0.095674482,0.067735623,Not,Not
Chr01,4060000,4160000,0.091997357,0.064668581,Not,Not
Chr01,4070000,4170000,0.086690181,0.064216412,Not,Not
Chr01,4080000,4180000,0.082227564,0.063729814,Not,Not
Chr01,4090000,4190000,0.082924928,0.062934354,Not,Not
Chr01,4100000,4200000,0.072457545,0.06408642,Not,Not
Chr01,4110000,4210000,0.069456266,0.063732459,Not,Not
Chr01,4120000,4220000,0.06766,0.060676532,Not,Not
Chr01,4130000,4230000,0.072510109,0.05245825,Not,Not
Chr01,4140000,4240000,0.072499195,0.041424163,Not,Not
Chr01,4150000,4250000,0.043505291,0.034646983,Not,Not
Chr01,4160000,4260000,0.044767758,0.037718654,Not,Not
Chr01,4170000,4270000,0.058566837,0.041788771,Not,Not
Chr01,4180000,4280000,0.072813874,0.04214212,Not,Not
Chr01,4190000,4290000,0.072857702,0.043205031,Not,Not
Chr01,4200000,4300000,0.088457111,0.041455541,Not,Not
Chr01,4210000,4310000,0.111542682,0.036113005,Not,Not
Chr01,4220000,4320000,0.105856263,0.037697003,Not,Not
Chr01,4230000,4330000,0.120037982,0.034224927,Not,Not
Chr01,4240000,4340000,0.137937778,0.039340416,Not,Not
Chr01,4250000,4350000,0.145087243,0.041667095,Not,Not
Chr01,4260000,4360000,0.156570196,0.040017138,Not,Not
Chr01,4270000,4370000,0.156051163,0.03476611,Not,Not
Chr01,4280000,4380000,0.168814261,0.026847743,Not,Not
Chr01,4290000,4390000,0.166612252,0.022797739,Not,Not
Chr01,4300000,4400000,0.163905661,0.020005957,Not,Not
Chr01,4310000,4410000,0.154590626,0.021259679,Not,Not
Chr01,4320000,4420000,0.173725093,0.023636242,Not,Not
Chr01,4330000,4430000,0.163347395,0.03031013,Not,Not
Chr01,4340000,4440000,0.156846448,0.029343866,Not,Not
Chr01,4350000,4450000,0.164018704,0.029416724,Not,Not
Chr01,4360000,4460000,0.162306003,0.031634267,Not,Not
Chr01,4370000,4470000,0.156902088,0.036710834,Not,Not
Chr01,4380000,4480000,0.134707651,0.047669345,Not,Not
Chr01,4390000,4490000,0.132010273,0.056004992,Not,Not
Chr01,4400000,4500000,0.128649739,0.062163805,Not,Not
Chr01,4410000,4510000,0.132802533,0.064013705,Not,Not
Chr01,4420000,4520000,0.131421906,0.066530241,Not,Not
Chr01,4430000,4530000,0.137359556,0.065630387,Not,Not
Chr01,4440000,4540000,0.131389241,0.060477049,Not,Not
Chr01,4450000,4550000,0.128486735,0.06221173,Not,Not
Chr01,4460000,4560000,0.1345829,0.061110592,Not,Not
Chr01,4470000,4570000,0.137755863,0.058793586,Not,Not
Chr01,4480000,4580000,0.158417068,0.055252775,Not,Not
Chr01,4490000,4590000,0.179898173,0.052963555,Not,Not
Chr01,4500000,4600000,0.193210992,0.047131859,Not,Not
Chr01,4510000,4610000,0.187024612,0.042571841,Not,Not
Chr01,4520000,4620000,0.178692996,0.033046806,Not,Not
Chr01,4530000,4630000,0.173771966,0.037093361,Not,Not
Chr01,4540000,4640000,0.169951151,0.044011731,Not,Not
Chr01,4550000,4650000,0.155730728,0.043357048,Not,Not
Chr01,4560000,4660000,0.145951709,0.048625073,Not,Not
Chr01,4570000,4670000,0.153262887,0.055214144,Not,Not
Chr01,4580000,4680000,0.130352642,0.057950633,Not,Not
Chr01,4590000,4690000,0.106894354,0.058188688,Not,Not
Chr01,4600000,4700000,0.090941714,0.058752952,Not,Not
Chr01,4610000,4710000,0.074140972,0.069316098,Not,Not
Chr01,4620000,4720000,0.083910581,0.078139613,Not,Not
Chr01,4630000,4730000,0.076599358,0.069031481,Not,Not
Chr01,4640000,4740000,0.08284693,0.065032574,Not,Not
Chr01,4650000,4750000,0.096401036,0.062369481,Not,Not
Chr01,4660000,4760000,0.091332962,0.055538403,Not,Not
Chr01,4670000,4770000,0.072698734,0.047553628,Not,Not
