Ka,Ks,Ka/Ks,HAP1,HAP2,Start,Stop,Chromosome_real,Chromosome,Start_real,Stop_real,Compartment
0.00185098,0.0231064,0.0801068,OIIa.chrY.v1.g365330.t1,OIIb.chrX.v1.g390960.t1,1739190,1740590,ChrX,otto_ChrX,1739190,1740590,PAR
0.00472006,0.00823084,0.57346,OIIa.chrY.v1.g365340.t1,OIIb.chrX.v1.g390970.t1,1742589,1743497,ChrX,otto_ChrX,1742589,1743497,PAR
0.00467316,0.0240779,0.194085,OIIa.chrY.v1.g365350.t1,OIIb.chrX.v1.g390980.t1,1746853,1747731,ChrX,otto_ChrX,1746853,1747731,PAR
0.00423652,8.74E-05,48.4856,OIIa.chrY.v1.g365360.t1,OIIb.chrX.v1.g390990.t1,1752853,1753743,ChrX,otto_ChrX,1752853,1753743,PAR
0.00144909,0.00582914,0.248594,OIIa.chrY.v1.g365370.t1,OIIb.chrX.v1.g391000.t1,1766638,1767564,ChrX,otto_ChrX,1766638,1767564,PAR
0.0063559,0.0627005,0.101369,OIIa.chrY.v1.g365380.t1,OIIb.chrX.v1.g391010.t1,1770849,1773476,ChrX,otto_ChrX,1770849,1773476,PAR
0.000800284,0.01361,0.0588011,OIIa.chrY.v1.g365390.t1,OIIb.chrX.v1.g391020.t1,1775260,1778054,ChrX,otto_ChrX,1775260,1778054,PAR
0.00121096,0.00394736,0.306778,OIIa.chrY.v1.g365400.t1,OIIb.chrX.v1.g391030.t1,1780570,1783854,ChrX,otto_ChrX,1780570,1783854,PAR
0.00126332,0.0165,0.0765651,OIIa.chrY.v1.g365410.t1,OIIb.chrX.v1.g391040.t1,1787792,1789466,ChrX,otto_ChrX,1787792,1789466,PAR
0.0011907,0.009372,0.127048,OIIa.chrY.v1.g365420.t1,OIIb.chrX.v1.g391050.t1,1794172,1795692,ChrX,otto_ChrX,1794172,1795692,PAR
0.00309014,0.0127509,0.242346,OIIa.chrY.v1.g365430.t2,OIIb.chrX.v1.g391060.t2,1803876,1805123,ChrX,otto_ChrX,1803876,1805123,PAR
0.0101505,0.0145448,0.697881,OIIa.chrY.v1.g365440.t1,OIIb.chrX.v1.g391070.t1,1806378,1807466,ChrX,otto_ChrX,1806378,1807466,PAR
0.0122421,0.0105067,1.16517,OIIa.chrY.v1.g365450.t1,OIIb.chrX.v1.g391080.t1,1808693,1809745,ChrX,otto_ChrX,1808693,1809745,PAR
2.99E-05,0.0298707,0.001,OIIa.chrY.v1.g365460.t1,OIIb.chrX.v1.g391090.t1,1812071,1813154,ChrX,otto_ChrX,1812071,1813154,PAR
2.82E-05,0.0281826,0.001,OIIa.chrY.v1.g365470.t1,OIIb.chrX.v1.g391100.t1,1816179,1817563,ChrX,otto_ChrX,1816179,1817563,PAR
0.00968759,0.0153893,0.6295,OIIa.chrY.v1.g365480.t1,OIIb.chrX.v1.g391120.t1,1821028,1823905,ChrX,otto_ChrX,1821028,1823905,PAR
0.00230591,0.018904,0.12198,OIIa.chrY.v1.g365490.t1,OIIb.chrX.v1.g391130.t1,1826861,1828444,ChrX,otto_ChrX,1826861,1828444,PAR
0.00498289,0.0123269,0.404229,OIIa.chrY.v1.g365500.t1,OIIb.chrX.v1.g391140.t1,1829852,1830395,ChrX,otto_ChrX,1829852,1830395,PAR
0.00280333,0.0293803,0.0954153,OIIa.chrY.v1.g365510.t1,OIIb.chrX.v1.g391150.t1,1832110,1833063,ChrX,otto_ChrX,1832110,1833063,PAR
8.91E-06,0.0089111,0.001,OIIa.chrY.v1.g365520.t1,OIIb.chrX.v1.g391160.t1,1836708,1837241,ChrX,otto_ChrX,1836708,1837241,PAR
0.000751343,0.0157025,0.0478488,OIIa.chrY.v1.g365530.t1,OIIb.chrX.v1.g391170.t1,1837659,1841679,ChrX,otto_ChrX,1837659,1841679,PAR
0.00579984,0.0206839,0.280404,OIIa.chrY.v1.g365540.t1,OIIb.chrX.v1.g391180.t1,1849508,1853528,ChrX,otto_ChrX,1849508,1853528,PAR
0.000924125,0.0128852,0.07172,OIIa.chrY.v1.g365550.t1,OIIb.chrX.v1.g391190.t1,1870166,1872993,ChrX,otto_ChrX,1870166,1872993,PAR
0.00670695,0.0112353,0.596953,OIIa.chrY.v1.g365570.t1,OIIb.chrX.v1.g391210.t1,1879371,1883401,ChrX,otto_ChrX,1879371,1883401,PAR
5.02E-06,0.00502318,0.001,OIIa.chrY.v1.g365580.t1,OIIb.chrX.v1.g391220.t1,1889498,1893493,ChrX,otto_ChrX,1889498,1893493,PAR
NA,NA,NA,OIIa.chrY.v1.g365590.t1,OIIb.chrX.v1.g391230.t1,1894940,1898247,ChrX,otto_ChrX,1894940,1898247,PAR
NA,NA,NA,OIIa.chrY.v1.g365600.t1,OIIb.chrX.v1.g391240.t1,1901950,1902969,ChrX,otto_ChrX,1901950,1902969,PAR
3.33E-06,0.00332538,0.001,OIIa.chrY.v1.g365620.t1,OIIb.chrX.v1.g391260.t1,1912893,1915741,ChrX,otto_ChrX,1912893,1915741,PAR
1.89E-05,0.0189413,0.001,OIIa.chrY.v1.g365630.t1,OIIb.chrX.v1.g391270.t1,1921716,1927731,ChrX,otto_ChrX,1921716,1927731,PAR
NA,NA,NA,OIIa.chrY.v1.g365640.t1,OIIb.chrX.v1.g391280.t1,1930507,1932542,ChrX,otto_ChrX,1930507,1932542,PAR
NA,NA,NA,OIIa.chrY.v1.g365650.t1,OIIb.chrX.v1.g391290.t1,1933705,1935746,ChrX,otto_ChrX,1933705,1935746,PAR
1.76E-05,0.0176366,0.001,OIIa.chrY.v1.g365660.t1,OIIb.chrX.v1.g391300.t1,1936366,1936596,ChrX,otto_ChrX,1936366,1936596,PAR
5.64E-06,0.00564415,0.001,OIIa.chrY.v1.g365670.t1,OIIb.chrX.v1.g391310.t1,1938575,1940913,ChrX,otto_ChrX,1938575,1940913,PAR
0.00430346,0.0764591,0.0562845,OIIa.chrY.v1.g365680.t1,OIIb.chrX.v1.g391320.t1,1942214,1945036,ChrX,otto_ChrX,1942214,1945036,PAR
0.00209028,0.0374425,0.0558265,OIIa.chrY.v1.g365700.t1,OIIb.chrX.v1.g391340.t1,1959492,1964276,ChrX,otto_ChrX,1959492,1964276,PAR
0.00467412,0.047661,0.0980701,OIIa.chrY.v1.g365710.t1,OIIb.chrX.v1.g391360.t1,1965252,1966262,ChrX,otto_ChrX,1965252,1966262,PAR
0.00390368,0.0253227,0.154157,OIIa.chrY.v1.g365720.t1,OIIb.chrX.v1.g391370.t1,1969334,1972897,ChrX,otto_ChrX,1969334,1972897,PAR
0.00287659,0.0292568,0.0983221,OIIa.chrY.v1.g365730.t1,OIIb.chrX.v1.g391380.t1,1976495,1979917,ChrX,otto_ChrX,1976495,1979917,PAR
0.00228172,0.0411763,0.0554133,OIIa.chrY.v1.g365760.t1,OIIb.chrX.v1.g391410.t1,1997613,1998195,ChrX,otto_ChrX,1997613,1998195,PAR
0.00327703,0.00769528,0.425849,OIIa.chrY.v1.g365770.t1,OIIb.chrX.v1.g391420.t1,2015356,2019383,ChrX,otto_ChrX,2015356,2019383,PAR
0.00257946,0.00944282,0.273166,OIIa.chrY.v1.g365780.t1,OIIb.chrX.v1.g391430.t1,2021151,2024370,ChrX,otto_ChrX,2021151,2024370,PAR
NA,NA,NA,OIIa.chrY.v1.g365800.t1,OIIb.chrX.v1.g391460.t1,2044512,2044838,ChrX,otto_ChrX,2044512,2044838,PAR
0.00368025,0.0531481,0.0692452,OIIa.chrY.v1.g365880.t1,OIIb.chrX.v1.g391490.t1,2075273,2077197,ChrX,otto_ChrX,2075273,2077197,PAR
0.00448656,0.0484403,0.0926205,OIIa.chrY.v1.g365920.t1,OIIb.chrX.v1.g391530.t1,2140787,2147538,ChrX,otto_ChrX,2140787,2147538,PAR
3.22E-05,0.0322208,0.001,OIIa.chrY.v1.g365940.t1,OIIb.chrX.v1.g391540.t1,2151833,2153605,ChrX,otto_ChrX,2151833,2153605,PAR
0.00134203,0.0202723,0.0662003,OIIa.chrY.v1.g365970.t1,OIIb.chrX.v1.g391570.t1,2188013,2188999,ChrX,otto_ChrX,2188013,2188999,PAR
0.0073128,0.0178274,0.4102,OIIa.chrY.v1.g365980.t1,OIIb.chrX.v1.g391580.t1,2190741,2193605,ChrX,otto_ChrX,2190741,2193605,PAR
0.00406135,0.0432264,0.0939552,OIIa.chrY.v1.g365990.t2,OIIb.chrX.v1.g391620.t2,2216307,2220742,ChrX,otto_ChrX,2216307,2220742,PAR
0.00709054,0.0418675,0.169357,OIIa.chrY.v1.g366000.t1,OIIb.chrX.v1.g391630.t1,2221466,2223675,ChrX,otto_ChrX,2221466,2223675,PAR
4.12E-05,0.0411672,0.001,OIIa.chrY.v1.g366010.t1,OIIb.chrX.v1.g391640.t1,2235920,2237133,ChrX,otto_ChrX,2235920,2237133,PAR
0.000744345,0.0176579,0.0421537,OIIa.chrY.v1.g366020.t1,OIIb.chrX.v1.g391650.t1,2271579,2274863,ChrX,otto_ChrX,2271579,2274863,PAR
0.00475261,0.027599,0.172202,OIIa.chrY.v1.g366030.t1,OIIb.chrX.v1.g391660.t1,2278698,2280684,ChrX,otto_ChrX,2278698,2280684,PAR
0.00439736,0.0160915,0.273272,OIIa.chrY.v1.g366040.t1,OIIb.chrX.v1.g391670.t1,2283186,2285208,ChrX,otto_ChrX,2283186,2285208,PAR
2.19E-05,0.0218827,0.001,OIIa.chrY.v1.g366050.t1,OIIb.chrX.v1.g391680.t1,2287278,2289167,ChrX,otto_ChrX,2287278,2289167,PAR
1.19E-05,0.0119367,0.001,OIIa.chrY.v1.g366060.t1,OIIb.chrX.v1.g391690.t1,2290968,2292361,ChrX,otto_ChrX,2290968,2292361,PAR
0.00362271,0.03357,0.107915,OIIa.chrY.v1.g366070.t1,OIIb.chrX.v1.g391700.t1,2294641,2297802,ChrX,otto_ChrX,2294641,2297802,PAR
0.00173387,0.00355074,0.488311,OIIa.chrY.v1.g366080.t1,OIIb.chrX.v1.g391710.t1,2298661,2302399,ChrX,otto_ChrX,2298661,2302399,PAR
0.0209278,0.049814,0.420119,OIIa.chrY.v1.g366090.t1,OIIb.chrX.v1.g391720.t1,2304233,2305656,ChrX,otto_ChrX,2304233,2305656,PAR
7.46E-06,0.00745681,0.001,OIIa.chrY.v1.g366100.t1,OIIb.chrX.v1.g391730.t1,2323456,2324888,ChrX,otto_ChrX,2323456,2324888,PAR
2.17E-05,0.0216556,0.001,OIIa.chrY.v1.g366110.t1,OIIb.chrX.v1.g391740.t1,2328737,2330515,ChrX,otto_ChrX,2328737,2330515,PAR
NA,NA,NA,OIIa.chrY.v1.g366120.t1,OIIb.chrX.v1.g391750.t1,2330998,2331354,ChrX,otto_ChrX,2330998,2331354,PAR
0.00132291,0.0158696,0.0833616,OIIa.chrY.v1.g366130.t1,OIIb.chrX.v1.g391760.t1,2332671,2334394,ChrX,otto_ChrX,2332671,2334394,PAR
0.000541841,0.0254972,0.021251,OIIa.chrY.v1.g366140.t1,OIIb.chrX.v1.g391770.t1,2337136,2339849,ChrX,otto_ChrX,2337136,2339849,PAR
0.00865633,0.0351735,0.246104,OIIa.chrY.v1.g366150.t1,OIIb.chrX.v1.g391780.t1,2353241,2356113,ChrX,otto_ChrX,2353241,2356113,PAR
3.39E-05,0.0338766,0.001,OIIa.chrY.v1.g366160.t1,OIIb.chrX.v1.g391790.t1,2388330,2389325,ChrX,otto_ChrX,2388330,2389325,PAR
2.50E-05,0.0249945,0.001,OIIa.chrY.v1.g366170.t1,OIIb.chrX.v1.g391800.t1,2391875,2398218,ChrX,otto_ChrX,2391875,2398218,PAR
0.00314509,0.0148639,0.211593,OIIa.chrY.v1.g366180.t1,OIIb.chrX.v1.g391810.t1,2399652,2408150,ChrX,otto_ChrX,2399652,2408150,PAR
0.00143552,0.026954,0.0532582,OIIa.chrY.v1.g366190.t1,OIIb.chrX.v1.g391820.t1,2412022,2413445,ChrX,otto_ChrX,2412022,2413445,PAR
0.0093058,0.0386351,0.240864,OIIa.chrY.v1.g366210.t1,OIIb.chrX.v1.g391840.t1,2431906,2432940,ChrX,otto_ChrX,2431906,2432940,PAR
1.23E-05,0.0122523,0.001,OIIa.chrY.v1.g366220.t1,OIIb.chrX.v1.g391850.t1,2449982,2452480,ChrX,otto_ChrX,2449982,2452480,PAR
0.00560966,0.0497947,0.112656,OIIa.chrY.v1.g366300.t1,OIIb.chrX.v1.g391940.t1,2527595,2529583,ChrX,otto_ChrX,2527595,2529583,PAR
0.00683963,0.011495,0.595011,OIIa.chrY.v1.g366340.t1,OIIb.chrX.v1.g391960.t1,2546126,2548171,ChrX,otto_ChrX,2546126,2548171,PAR
0.00253454,0.043432,0.0583565,OIIa.chrY.v1.g366350.t1,OIIb.chrX.v1.g391970.t1,2552973,2555999,ChrX,otto_ChrX,2552973,2555999,PAR
NA,NA,NA,OIIa.chrY.v1.g366370.t1,OIIb.chrX.v1.g391990.t1,2577826,2578206,ChrX,otto_ChrX,2577826,2578206,PAR
0.000486379,0.021649,0.0224666,OIIa.chrY.v1.g366380.t1,OIIb.chrX.v1.g392010.t1,2586616,2593664,ChrX,otto_ChrX,2586616,2593664,PAR
0.00547075,0.00295809,1.84942,OIIa.chrY.v1.g366410.t1,OIIb.chrX.v1.g392040.t1,2604919,2606364,ChrX,otto_ChrX,2604919,2606364,PAR
1.94E-05,0.0193965,0.001,OIIa.chrY.v1.g366420.t1,OIIb.chrX.v1.g392050.t1,2606805,2609115,ChrX,otto_ChrX,2606805,2609115,PAR
0.00127699,0.0142628,0.0895329,OIIa.chrY.v1.g366430.t1,OIIb.chrX.v1.g392060.t1,2610826,2613785,ChrX,otto_ChrX,2610826,2613785,PAR
0.00147893,0.0266072,0.055584,OIIa.chrY.v1.g366440.t1,OIIb.chrX.v1.g392070.t1,2617743,2619511,ChrX,otto_ChrX,2617743,2619511,PAR
0.0043326,0.0281253,0.154046,OIIa.chrY.v1.g366460.t1,OIIb.chrX.v1.g392090.t1,2653426,2654238,ChrX,otto_ChrX,2653426,2654238,PAR
1.12E-05,0.0112256,0.001,OIIa.chrY.v1.g366470.t1,OIIb.chrX.v1.g392100.t1,2656843,2659667,ChrX,otto_ChrX,2656843,2659667,PAR
0.00783833,0.000161403,48.5639,OIIa.chrY.v1.g366480.t1,OIIb.chrX.v1.g392110.t1,2662267,2663849,ChrX,otto_ChrX,2662267,2663849,PAR
0.0331033,0.000662067,50,OIIa.chrY.v1.g366490.t1,OIIb.chrX.v1.g392120.t1,2665655,2665861,ChrX,otto_ChrX,2665655,2665861,PAR
0.00340681,0.0286836,0.118772,OIIa.chrY.v1.g366500.t1,OIIb.chrX.v1.g392130.t1,2666402,2668495,ChrX,otto_ChrX,2666402,2668495,PAR
0.000736113,0.0363638,0.020243,OIIa.chrY.v1.g366510.t1,OIIb.chrX.v1.g392140.t1,2682800,2684806,ChrX,otto_ChrX,2682800,2684806,PAR
0.00227382,0.0245542,0.0926043,OIIa.chrY.v1.g366520.t1,OIIb.chrX.v1.g392150.t1,2689340,2692310,ChrX,otto_ChrX,2689340,2692310,PAR
0.00256772,0.0183713,0.139768,OIIa.chrY.v1.g366530.t1,OIIb.chrX.v1.g392160.t1,2693490,2697366,ChrX,otto_ChrX,2693490,2697366,PAR
1.09E-05,0.0108862,0.001,OIIa.chrY.v1.g366540.t1,OIIb.chrX.v1.g392170.t1,2715692,2717582,ChrX,otto_ChrX,2715692,2717582,PAR
0.00472393,0.0204013,0.23155,OIIa.chrY.v1.g366550.t1,OIIb.chrX.v1.g392180.t1,2722437,2724633,ChrX,otto_ChrX,2722437,2724633,PAR
0.335238,3.65909,0.0916179,OIIa.chrY.v1.g366560.t1,OIIb.chrX.v1.g439950.t1,85580297,85582366,ChrX,otto_ChrX,85580297,85582366,PAR
0.00273377,0.00713276,0.38327,OIIa.chrY.v1.g366570.t1,OIIb.chrX.v1.g392190.t1,2726489,2729791,ChrX,otto_ChrX,2726489,2729791,PAR
0.00722019,0.0199638,0.361665,OIIa.chrY.v1.g366580.t1,OIIb.chrX.v1.g392200.t1,2730545,2731384,ChrX,otto_ChrX,2730545,2731384,PAR
0.0098374,0.0225025,0.437169,OIIa.chrY.v1.g366590.t1,OIIb.chrX.v1.g392210.t1,2731840,2737321,ChrX,otto_ChrX,2731840,2737321,PAR
0.00527953,0.0352599,0.149732,OIIa.chrY.v1.g366600.t1,OIIb.chrX.v1.g392220.t1,2742367,2748617,ChrX,otto_ChrX,2742367,2748617,PAR
1.28E-05,0.0128221,0.001,OIIa.chrY.v1.g366610.t1,OIIb.chrX.v1.g392230.t1,2752097,2754849,ChrX,otto_ChrX,2752097,2754849,PAR
0.0785462,0.130595,0.60145,OIIa.chrY.v1.g366620.t1,OIIb.chrX.v1.g392240.t1,2757242,2759865,ChrX,otto_ChrX,2757242,2759865,PAR
7.24E-06,0.00723966,0.001,OIIa.chrY.v1.g366630.t1,OIIb.chrX.v1.g392250.t1,2761981,2763414,ChrX,otto_ChrX,2761981,2763414,PAR
0.00133641,0.0053174,0.251328,OIIa.chrY.v1.g366640.t1,OIIb.chrX.v1.g392260.t1,2764660,2768343,ChrX,otto_ChrX,2764660,2768343,PAR
1.97E-05,0.0197156,0.001,OIIa.chrY.v1.g366650.t1,OIIb.chrX.v1.g392270.t1,2770122,2773347,ChrX,otto_ChrX,2770122,2773347,PAR
0.00457261,0.0403993,0.113185,OIIa.chrY.v1.g366660.t1,OIIb.chrX.v1.g392280.t1,2775721,2779182,ChrX,otto_ChrX,2775721,2779182,PAR
1.09E-05,0.0108688,0.001,OIIa.chrY.v1.g366670.t1,OIIb.chrX.v1.g392290.t1,2785295,2797723,ChrX,otto_ChrX,2785295,2797723,PAR
NA,NA,NA,OIIa.chrY.v1.g366680.t1,OIIb.chrX.v1.g392300.t1,2799392,2801242,ChrX,otto_ChrX,2799392,2801242,PAR
9.44E-06,0.0094395,0.001,OIIa.chrY.v1.g366690.t1,OIIb.chrX.v1.g392310.t1,2805348,2805866,ChrX,otto_ChrX,2805348,2805866,PAR
6.55E-06,0.00655109,0.001,OIIa.chrY.v1.g366710.t1,OIIb.chrX.v1.g392320.t1,2815534,2816532,ChrX,otto_ChrX,2815534,2816532,PAR
0.00163462,0.00787346,0.207612,OIIa.chrY.v1.g366720.t1,OIIb.chrX.v1.g392330.t1,2818776,2819756,ChrX,otto_ChrX,2818776,2819756,PAR
1.48E-05,0.0148398,0.001,OIIa.chrY.v1.g366730.t1,OIIb.chrX.v1.g392340.t1,2820427,2823247,ChrX,otto_ChrX,2820427,2823247,PAR
0.00528192,0.0204611,0.258144,OIIa.chrY.v1.g366740.t1,OIIb.chrX.v1.g392350.t1,2828561,2831223,ChrX,otto_ChrX,2828561,2831223,PAR
0.00259003,0.0135998,0.190446,OIIa.chrY.v1.g366760.t1,OIIb.chrX.v1.g392370.t1,2838361,2840924,ChrX,otto_ChrX,2838361,2840924,PAR
5.98E-06,0.00597706,0.001,OIIa.chrY.v1.g366770.t1,OIIb.chrX.v1.g392380.t1,2845272,2847758,ChrX,otto_ChrX,2845272,2847758,PAR
1.34E-05,0.0134067,0.001,OIIa.chrY.v1.g366780.t1,OIIb.chrX.v1.g392390.t1,2849654,2853465,ChrX,otto_ChrX,2849654,2853465,PAR
3.19E-05,0.0319132,0.001,OIIa.chrY.v1.g366790.t1,OIIb.chrX.v1.g392400.t1,2858054,2858947,ChrX,otto_ChrX,2858054,2858947,PAR
0.00162659,0.0298815,0.0544347,OIIa.chrY.v1.g366800.t1,OIIb.chrX.v1.g392410.t1,2913128,2921533,ChrX,otto_ChrX,2913128,2921533,PAR
0.000738709,0.0304349,0.0242718,OIIa.chrY.v1.g366810.t1,OIIb.chrX.v1.g392420.t1,2923511,2928002,ChrX,otto_ChrX,2923511,2928002,PAR
0.0134209,0.028389,0.47275,OIIa.chrY.v1.g366820.t1,OIIb.chrX.v1.g392430.t1,2928223,2929028,ChrX,otto_ChrX,2928223,2929028,PAR
0.00355247,0.00562367,0.631699,OIIa.chrY.v1.g366830.t1,OIIb.chrX.v1.g392440.t1,2930003,2930933,ChrX,otto_ChrX,2930003,2930933,PAR
0.0076031,0.0442026,0.172006,OIIa.chrY.v1.g366840.t1,OIIb.chrX.v1.g392450.t1,2937484,2937999,ChrX,otto_ChrX,2937484,2937999,PAR
1.41E-05,0.0140762,0.001,OIIa.chrY.v1.g366850.t1,OIIb.chrX.v1.g392460.t1,2943127,2944041,ChrX,otto_ChrX,2943127,2944041,PAR
3.40E-05,0.0339696,0.001,OIIa.chrY.v1.g366860.t1,OIIb.chrX.v1.g392470.t1,2945959,2949492,ChrX,otto_ChrX,2945959,2949492,PAR
0.00427138,0.0185951,0.229705,OIIa.chrY.v1.g366890.t1,OIIb.chrX.v1.g392500.t1,2957357,2959532,ChrX,otto_ChrX,2957357,2959532,PAR
0.00474733,0.0129212,0.367406,OIIa.chrY.v1.g366900.t1,OIIb.chrX.v1.g392510.t1,2961854,2963141,ChrX,otto_ChrX,2961854,2963141,PAR
0.0013499,0.029627,0.0455633,OIIa.chrY.v1.g366910.t1,OIIb.chrX.v1.g392520.t1,2963448,2966264,ChrX,otto_ChrX,2963448,2966264,PAR
0.00617893,0.0165358,0.37367,OIIa.chrY.v1.g366920.t1,OIIb.chrX.v1.g392530.t1,2967729,2969402,ChrX,otto_ChrX,2967729,2969402,PAR
NA,NA,NA,OIIa.chrY.v1.g366930.t1,OIIb.chrX.v1.g392540.t1,2971656,2973418,ChrX,otto_ChrX,2971656,2973418,PAR
0.00822232,0.0447423,0.183771,OIIa.chrY.v1.g366940.t1,OIIb.chrX.v1.g392550.t1,2976405,2978327,ChrX,otto_ChrX,2976405,2978327,PAR
0.00522056,0.0197967,0.263709,OIIa.chrY.v1.g366950.t1,OIIb.chrX.v1.g392560.t1,2979201,2981549,ChrX,otto_ChrX,2979201,2981549,PAR
0.00192542,0.0167136,0.115201,OIIa.chrY.v1.g366960.t1,OIIb.chrX.v1.g392570.t1,2984182,2988012,ChrX,otto_ChrX,2984182,2988012,PAR
0.00505218,0.00494567,1.02154,OIIa.chrY.v1.g366970.t1,OIIb.chrX.v1.g392580.t1,2996093,2998217,ChrX,otto_ChrX,2996093,2998217,PAR
0.00286867,0.0306353,0.0936391,OIIa.chrY.v1.g366990.t1,OIIb.chrX.v1.g392590.t1,3006213,3006686,ChrX,otto_ChrX,3006213,3006686,PAR
0.00118229,0.0159996,0.0738948,OIIa.chrY.v1.g367000.t1,OIIb.chrX.v1.g392630.t1,3034643,3037070,ChrX,otto_ChrX,3034643,3037070,PAR
3.89E-05,0.0388571,0.001,OIIa.chrY.v1.g367010.t1,OIIb.chrX.v1.g392640.t1,3038442,3040852,ChrX,otto_ChrX,3038442,3040852,PAR
