,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,Stop,Chromosome
OIIa.chrY.v1.g387510,0,NA,NA,NA,NA,NA,41974920,41975377,ChrY
OIIa.chrY.v1.g387540,0,NA,NA,NA,NA,NA,42067801,42068307,ChrY
OIIa.chrY.v1.g387560,0.145512137,0,8.775233444,0,1,NA,42319354,42319719,ChrY
OIIa.chrY.v1.g387580,0,NA,NA,NA,NA,NA,42947664,42948373,ChrY
OIIa.chrY.v1.g387600,0.128723148,0,8.775233444,0,1,NA,43156019,43169393,ChrY
OIIa.chrY.v1.g387610,0,NA,NA,NA,NA,NA,43178126,43178677,ChrY
OIIa.chrY.v1.g387620,0.116444893,0,8.775233444,0,1,NA,43199712,43200633,ChrY
OIIa.chrY.v1.g387630,0,NA,NA,NA,NA,NA,43230633,43230950,ChrY
OIIa.chrY.v1.g387640,0.874813148,1.67167687,8.618547728,0.19396271,0.846205081,NA,43292687,43292950,ChrY
OIIa.chrY.v1.g387650,0,NA,NA,NA,NA,NA,43402074,43402373,ChrY
OIIa.chrY.v1.g387690,63.76820511,-10.26782043,1.072682757,-9.57209423,1.05E-21,3.68E-19,43446182,43448502,ChrY
OIIa.chrY.v1.g387700,141.2431174,-11.52269733,1.045348164,-11.02283213,2.97E-28,1.60E-25,43463723,43476769,ChrY
OIIa.chrY.v1.g387710,2.54647359,0,8.775233444,0,1,1,44037003,44037565,ChrY
OIIa.chrY.v1.g387720,0.180344221,0,8.775233444,0,1,NA,44073100,44073372,ChrY
OIIa.chrY.v1.g387760,0.048755537,-2.562353736,8.740312431,-0.293165005,0.769396032,NA,44337090,44337545,ChrY
OIIa.chrY.v1.g387850,100.5025364,-9.520446589,1.120003602,-8.500371403,1.89E-17,5.18E-15,44425961,44427630,ChrY
OIIa.chrY.v1.g387930,0.069855379,0,8.775233444,0,1,NA,45360855,45362096,ChrY
OIIa.chrY.v1.g387940,76.07231341,-0.355067156,1.085378629,-0.327136675,0.743564514,0.897090802,45396359,45401487,ChrY
OIIa.chrY.v1.g387950,143.3569575,-0.554656122,0.487837148,-1.136969835,0.255550896,0.506634455,45579010,45581355,ChrY
OIIa.chrY.v1.g387960,17.11304898,0.444615022,0.839304037,0.529742504,0.596290474,0.807223159,45584388,45584756,ChrY
OIIa.chrY.v1.g387970,2.697761279,-3.461239284,1.637291719,-2.114002804,0.034515028,0.133549257,45584925,45585221,ChrY
OIIa.chrY.v1.g388070,796.6845384,-0.708250744,0.372623074,-1.900716282,0.057339185,0.190354543,45898078,45898879,ChrY
OIIa.chrY.v1.g388080,2176.831571,0.590208364,0.402964653,1.464665349,0.143012243,0.350859591,45899480,45902184,ChrY
OIIa.chrY.v1.g388090,0.082359845,0,8.775233444,0,1,NA,45973953,45974821,ChrY
OIIa.chrY.v1.g388100,0.023531384,0,8.775233444,0,1,NA,45974846,45975272,ChrY
OIIa.chrY.v1.g388110,0,NA,NA,NA,NA,NA,45991276,45991815,ChrY
OIIa.chrY.v1.g388120,6.970861868,-1.462440104,1.890611569,-0.773527533,0.43921024,0.689670106,46028412,46032884,ChrY
OIIa.chrY.v1.g388130,1.106343469,0,8.775233444,0,1,NA,46038066,46039049,ChrY
OIIa.chrY.v1.g388140,0.625140327,0,6.634557528,0,1,NA,46202255,46202698,ChrY
OIIa.chrY.v1.g388150,0,NA,NA,NA,NA,NA,46269644,46270294,ChrY
OIIa.chrY.v1.g388160,0.117345772,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,46270614,46271962,ChrY
OIIa.chrY.v1.g388170,0,NA,NA,NA,NA,NA,46276810,46277275,ChrY
OIIa.chrY.v1.g388180,0,NA,NA,NA,NA,NA,46277309,46278091,ChrY
OIIa.chrY.v1.g388190,0,NA,NA,NA,NA,NA,46308374,46308601,ChrY
OIIa.chrY.v1.g388420,0.04827118,0,8.775233444,0,1,NA,46869656,46870210,ChrY
OIIa.chrY.v1.g388440,0,NA,NA,NA,NA,NA,46870829,46871623,ChrY
OIIa.chrY.v1.g388450,0.0338551,0,8.775233444,0,1,NA,47023904,47024874,ChrY
OIIa.chrY.v1.g388480,0,NA,NA,NA,NA,NA,47102567,47103152,ChrY
OIIa.chrY.v1.g388500,0,NA,NA,NA,NA,NA,47117124,47117809,ChrY
OIIa.chrY.v1.g388510,0,NA,NA,NA,NA,NA,47117336,47117569,ChrY
OIIa.chrY.v1.g388520,1.177060017,-5.78925335,8.71837167,-0.664029198,0.506671623,0.743390918,47361640,47362002,ChrY
OIIa.chrY.v1.g388530,0.029328989,0,8.775233444,0,1,NA,47388449,47388766,ChrY
OIIa.chrY.v1.g388540,0,NA,NA,NA,NA,NA,47436945,47437289,ChrY
OIIa.chrY.v1.g388550,0,NA,NA,NA,NA,NA,47574496,47575122,ChrY
OIIa.chrY.v1.g388560,0.036500553,0,8.775233444,0,1,NA,47635582,47637357,ChrY
OIIa.chrY.v1.g388590,1.141374974,-0.172246418,1.514966062,-0.113696552,0.909478346,0.980939862,47719181,47719396,ChrY
OIIa.chrY.v1.g388640,6.029623942,0.364789774,0.888432457,0.410599333,0.681366353,0.861351756,47754949,47755666,ChrY
OIIa.chrY.v1.g388650,0.061221153,0,8.775233444,0,1,NA,47758262,47758648,ChrY
OIIa.chrY.v1.g388660,8.058436709,-3.147277262,1.914550983,-1.643872265,0.10020259,0.2774822,47767699,47768237,ChrY
OIIa.chrY.v1.g388670,0,NA,NA,NA,NA,NA,47772859,47773349,ChrY
OIIa.chrY.v1.g388680,94.08649498,-11.23247557,1.149091489,-9.775092473,1.44E-22,5.43E-20,47784131,47786908,ChrY
OIIa.chrY.v1.g388720,0,NA,NA,NA,NA,NA,47867470,47867760,ChrY
OIIa.chrY.v1.g388800,2.215529066,-5.774506258,6.7254839,-0.85860086,0.390560764,0.647120316,48055287,48056600,ChrY
OIIa.chrY.v1.g388810,0,NA,NA,NA,NA,NA,48230019,48230407,ChrY
OIIa.chrY.v1.g388860,833.9770909,-5.415830629,0.468637841,-11.55653716,6.84E-31,4.81E-28,48280774,48285701,ChrY
OIIa.chrY.v1.g388870,9.267246168,-0.581889221,0.665848861,-0.87390586,0.382169523,0.639546523,48290484,48293936,ChrY
OIIa.chrY.v1.g388950,0,NA,NA,NA,NA,NA,48467699,48468315,ChrY
OIIa.chrY.v1.g389020,2.753846116,0,3.433538173,0,1,1,49233144,49233407,ChrY
OIIa.chrY.v1.g389070,0,NA,NA,NA,NA,NA,49315994,49316371,ChrY
OIIa.chrY.v1.g389150,12.98140413,3.535028123,1.654614351,2.136466495,0.032641409,0.128386702,49686214,49687104,ChrY
OIIa.chrY.v1.g389170,0,NA,NA,NA,NA,NA,49799942,49800781,ChrY
OIIa.chrY.v1.g389180,0,NA,NA,NA,NA,NA,49818373,49818712,ChrY
OIIa.chrY.v1.g389210,0,NA,NA,NA,NA,NA,50014658,50015176,ChrY
OIIa.chrY.v1.g389220,0,NA,NA,NA,NA,NA,50016260,50016697,ChrY
OIIa.chrY.v1.g389230,0,NA,NA,NA,NA,NA,50117008,50117436,ChrY
OIIa.chrY.v1.g389240,94.65121665,-10.33094934,1.083410452,-9.535582126,1.49E-21,4.91E-19,50119918,50122337,ChrY
OIIa.chrY.v1.g389260,0.844489711,-2.419785533,6.073708187,-0.398403324,0.690332908,NA,50133925,50134602,ChrY
OIIa.chrY.v1.g389270,0.555553775,0,8.775233444,0,1,NA,50134699,50135199,ChrY
OIIa.chrY.v1.g389290,0.300604773,0,8.775233444,0,1,NA,50151602,50151871,ChrY
OIIa.chrY.v1.g389300,0.874173844,-3.72363981,3.685456007,-1.010360672,0.312322523,NA,50153040,50153255,ChrY
OIIa.chrY.v1.g389340,0,NA,NA,NA,NA,NA,50289404,50289622,ChrY
OIIa.chrY.v1.g389400,0,NA,NA,NA,NA,NA,50686138,50687091,ChrY
OIIa.chrY.v1.g389410,0.262750098,0,8.775233444,0,1,NA,50687170,50692494,ChrY
OIIa.chrY.v1.g389420,0.032354776,0,8.775233444,0,1,NA,51164507,51164808,ChrY
OIIa.chrY.v1.g389430,0,NA,NA,NA,NA,NA,51211816,51212268,ChrY
OIIa.chrY.v1.g389440,0.045652679,0,8.775233444,0,1,NA,51225921,51226606,ChrY
OIIa.chrY.v1.g389450,0.122250072,0,8.775233444,0,1,NA,51230007,51230423,ChrY
OIIa.chrY.v1.g389460,0,NA,NA,NA,NA,NA,51386926,51387153,ChrY
OIIa.chrY.v1.g389470,0,NA,NA,NA,NA,NA,51453996,51454214,ChrY
OIIa.chrY.v1.g389480,0,NA,NA,NA,NA,NA,51660365,51660688,ChrY
OIIa.chrY.v1.g389490,0,NA,NA,NA,NA,NA,51765000,51765299,ChrY
OIIa.chrY.v1.g389500,0,NA,NA,NA,NA,NA,51785894,51786212,ChrY
OIIa.chrY.v1.g389530,388.7673139,-13.11219773,1.056495039,-12.41103577,2.28E-35,2.40E-32,52028542,52029549,ChrY
OIIa.chrY.v1.g389540,0,NA,NA,NA,NA,NA,52051154,52051378,ChrY
OIIa.chrY.v1.g389550,0.396877584,0,8.775233444,0,1,NA,52100194,52100745,ChrY
OIIa.chrY.v1.g389560,0,NA,NA,NA,NA,NA,52235438,52235935,ChrY
OIIa.chrY.v1.g389570,0,NA,NA,NA,NA,NA,52271631,52272659,ChrY
OIIa.chrY.v1.g389580,0,NA,NA,NA,NA,NA,52275952,52276176,ChrY
OIIa.chrY.v1.g389590,8.120009537,2.008392012,0.963278057,2.084955634,0.037073328,0.140399422,52421688,52422935,ChrY
OIIa.chrY.v1.g389600,5.188030748,0.217888774,1.642999276,0.132616476,0.894496702,0.974352216,52423512,52424573,ChrY
OIIa.chrY.v1.g389610,0.459338795,-3.240219731,8.731109942,-0.371112007,0.710554109,NA,52426461,52426862,ChrY
OIIa.chrY.v1.g389620,0.035475226,0,8.775233444,0,1,NA,52446209,52447051,ChrY
OIIa.chrY.v1.g389630,0.013531152,0,8.775233444,0,1,NA,52463084,52463476,ChrY
OIIa.chrY.v1.g389640,0.094718064,0,8.775233444,0,1,NA,52464385,52464882,ChrY
OIIa.chrY.v1.g389650,0.256227365,4.33059479,8.724818335,0.496353577,0.619644972,NA,52467661,52468266,ChrY
OIIa.chrY.v1.g389660,0.165093583,0.049838761,8.768163341,0.005684059,0.995464801,NA,52470362,52471501,ChrY
OIIa.chrY.v1.g389670,0.018189017,0,8.775233444,0,1,NA,52471621,52471958,ChrY
OIIa.chrY.v1.g389680,37.51413542,2.09944648,0.902674977,2.325805561,0.020028926,0.090877643,52472130,52472895,ChrY
OIIa.chrY.v1.g389690,13.61562468,3.277670938,0.99581684,3.291439558,0.00099676,0.009885126,52476687,52477117,ChrY
OIIa.chrY.v1.g389700,0.552597639,-1.98299625,8.752425174,-0.226565347,0.82076174,NA,52478725,52479054,ChrY
OIIa.chrY.v1.g389710,0.073144405,0,8.775233444,0,1,NA,52480684,52480908,ChrY
OIIa.chrY.v1.g389770,0,NA,NA,NA,NA,NA,52634878,52636554,ChrY
OIIa.chrY.v1.g389780,0,NA,NA,NA,NA,NA,52637385,52637921,ChrY
OIIa.chrY.v1.g389790,15.56696645,-7.687850321,1.166733616,-6.589207864,4.42E-11,6.02E-09,52683966,52684317,ChrY
OIIa.chrY.v1.g389850,0,NA,NA,NA,NA,NA,53141708,53142577,ChrY
OIIa.chrY.v1.g389870,0.015856862,0,8.775233444,0,1,NA,53226890,53227096,ChrY
OIIa.chrY.v1.g389900,0,NA,NA,NA,NA,NA,53357890,53358234,ChrY
OIIa.chrY.v1.g389910,0,NA,NA,NA,NA,NA,53551613,53551870,ChrY
OIIa.chrY.v1.g389920,0,NA,NA,NA,NA,NA,53551615,53551827,ChrY
OIIa.chrY.v1.g389930,0,NA,NA,NA,NA,NA,53599459,53599821,ChrY
OIIa.chrY.v1.g389940,0,NA,NA,NA,NA,NA,53953001,53953363,ChrY
OIIa.chrY.v1.g389950,0,NA,NA,NA,NA,NA,53975700,53976149,ChrY
OIIa.chrY.v1.g389960,0,NA,NA,NA,NA,NA,53977307,53977888,ChrY
OIIa.chrY.v1.g389970,0,NA,NA,NA,NA,NA,54026451,54026660,ChrY
OIIa.chrY.v1.g389980,0,NA,NA,NA,NA,NA,54026707,54026946,ChrY
OIIa.chrY.v1.g389990,2.058845854,4.070370784,3.947174706,1.031211205,0.302441787,0.560840849,54075004,54076224,ChrY
OIIa.chrY.v1.g390000,0,NA,NA,NA,NA,NA,54118684,54118893,ChrY
OIIa.chrY.v1.g390010,0.037757762,0,8.775233444,0,1,NA,54120271,54120612,ChrY
OIIa.chrY.v1.g390020,0,NA,NA,NA,NA,NA,54218668,54219387,ChrY
OIIa.chrY.v1.g390030,0.792266481,0.230397433,2.678523924,0.086016567,0.931453247,NA,54254698,54255279,ChrY
OIIa.chrY.v1.g390040,1.625436711,4.041380702,2.243158103,1.801647729,0.071600847,0.220843437,54255399,54255807,ChrY
OIIa.chrY.v1.g390080,0.068390307,1.737057975,8.76995916,0.198069106,0.842990995,NA,54641787,54643007,ChrY
OIIa.chrY.v1.g390090,6.945930751,4.729084426,2.198412432,2.151136137,0.031465456,0.124926092,54861220,54862851,ChrY
OIIa.chrY.v1.g390100,0.021128014,0,8.775233444,0,1,NA,54883563,54883766,ChrY
OIIa.chrY.v1.g390110,0.34102366,0,8.775233444,0,1,NA,54945806,54946546,ChrY
OIIa.chrY.v1.g390140,56.84626132,-9.813754781,1.281557694,-7.657676926,1.89E-14,3.92E-12,55458461,55460098,ChrY
OIIa.chrY.v1.g390150,0,NA,NA,NA,NA,NA,55462197,55462397,ChrY
OIIa.chrY.v1.g390170,14.03906218,-7.727046681,1.299340286,-5.946899951,2.73E-09,2.58E-07,55471532,55471759,ChrY
OIIa.chrY.v1.g390190,0.03189079,0,8.775233444,0,1,NA,55501782,55502114,ChrY
OIIa.chrY.v1.g390200,0.025710194,0,8.775233444,0,1,NA,55501930,55502355,ChrY
OIIa.chrY.v1.g390210,0.00977633,0,8.775233444,0,1,NA,55510646,55510849,ChrY
OIIa.chrY.v1.g390220,0.540567456,-1.307493885,8.772836706,-0.149038895,0.881522942,NA,55514619,55514834,ChrY
OIIa.chrY.v1.g390230,0.226731403,0,8.775233444,0,1,NA,55517934,55518374,ChrY
OIIa.chrY.v1.g390240,1.788671017,-4.720927786,4.699352351,-1.004591151,0.31509376,0.573635203,55521444,55521653,ChrY
OIIa.chrY.v1.g390250,0.06501632,0,8.775233444,0,1,NA,55649125,55649424,ChrY
OIIa.chrY.v1.g390310,0,NA,NA,NA,NA,NA,55719664,55719933,ChrY
OIIa.chrY.v1.g390320,0,NA,NA,NA,NA,NA,55902040,55902348,ChrY
OIIa.chrY.v1.g390340,0,NA,NA,NA,NA,NA,55973767,55974096,ChrY
OIIa.chrY.v1.g390350,0,NA,NA,NA,NA,NA,55974980,55975363,ChrY
OIIa.chrY.v1.g390360,119.6179606,-2.130493276,1.306753026,-1.630371794,0.103022942,0.282156056,56030381,56032381,ChrY
OIIa.chrY.v1.g390370,0.264392643,0,8.775233444,0,1,NA,56041703,56042422,ChrY
OIIa.chrY.v1.g390380,3.164933802,-1.824153384,1.796036981,-1.01565469,0.309793851,0.568193331,56052783,56060465,ChrY
OIIa.chrY.v1.g390390,46.1584745,-3.271199461,1.729739502,-1.891151505,0.058604123,0.192854191,56099178,56099912,ChrY
OIIa.chrY.v1.g390400,0,NA,NA,NA,NA,NA,56129895,56130149,ChrY
OIIa.chrY.v1.g390410,0,NA,NA,NA,NA,NA,56180250,56180516,ChrY
OIIa.chrY.v1.g390420,0,NA,NA,NA,NA,NA,56188501,56188713,ChrY
OIIa.chrY.v1.g390430,0.016090393,0,8.775233444,0,1,NA,56188765,56189112,ChrY
OIIa.chrY.v1.g390440,0,NA,NA,NA,NA,NA,56238044,56238268,ChrY
OIIa.chrY.v1.g390450,0,NA,NA,NA,NA,NA,56308386,56308652,ChrY
OIIa.chrY.v1.g390460,0,NA,NA,NA,NA,NA,56359873,56360406,ChrY
OIIa.chrY.v1.g390470,0,NA,NA,NA,NA,NA,56360531,56361463,ChrY
OIIa.chrY.v1.g390480,656.1913697,-1.712447207,0.975752022,-1.755002467,0.079258886,0.236583186,56418705,56420705,ChrY
OIIa.chrY.v1.g390490,300.2097427,-6.070300758,1.77110487,-3.427408993,0.000609371,0.006815865,56458344,56459836,ChrY
OIIa.chrY.v1.g390500,0,NA,NA,NA,NA,NA,56546871,56547410,ChrY
OIIa.chrY.v1.g390510,0.271469969,0,8.775233444,0,1,NA,56555357,56555707,ChrY
OIIa.chrY.v1.g390520,37.07086179,7.444099563,1.944318473,3.828642101,0.000128852,0.002076401,56558601,56562164,ChrY
OIIa.chrY.v1.g390530,0.963412076,0,2.037539099,0,1,NA,56566901,56567131,ChrY
OIIa.chrY.v1.g390560,0,NA,NA,NA,NA,NA,56687998,56688222,ChrY
OIIa.chrY.v1.g390610,0.308535649,-2.348780064,8.744225827,-0.268609264,0.788230383,NA,56992953,56993216,ChrY
OIIa.chrY.v1.g390700,2.551252206,30.60600983,5.593228988,5.471975114,4.45E-08,3.09E-06,57081977,57083364,ChrY
OIIa.chrY.v1.g390710,0,NA,NA,NA,NA,NA,57198706,57198993,ChrY
OIIa.chrY.v1.g390720,0.018070137,-1.218101766,8.77435437,-0.13882523,0.889588256,NA,57201977,57202285,ChrY
OIIa.chrY.v1.g390730,0,NA,NA,NA,NA,NA,57229391,57229603,ChrY
OIIa.chrY.v1.g390740,0.054210411,-2.716350303,8.737828341,-0.310872473,0.755897572,NA,57229427,57229660,ChrY
OIIa.chrY.v1.g390750,0,NA,NA,NA,NA,NA,57249182,57249583,ChrY
OIIa.chrY.v1.g390760,88.58169536,-0.177626135,0.617897822,-0.287468459,0.773753649,0.913451952,57421802,57423328,ChrY
OIIa.chrY.v1.g390770,254.8697331,0.471464541,0.490251076,0.961679767,0.336210489,0.595218511,57423555,57426251,ChrY
OIIa.chrY.v1.g390780,0.085149919,0,8.775233444,0,1,NA,57437955,57438245,ChrY
OIIa.chrY.v1.g390790,0.075373589,0,8.775233444,0,1,NA,57443972,57444262,ChrY
OIIa.chrY.v1.g390800,1.796903185,-1.329801991,2.525165795,-0.526619675,0.598457726,0.80878785,57451927,57452928,ChrY
OIIa.chrY.v1.g390810,2.50934392,-1.682731591,2.191091239,-0.767987914,0.442494365,0.692123397,57453243,57455053,ChrY
OIIa.chrY.v1.g390830,85.3372054,-0.410303564,1.268902268,-0.323353164,0.746427795,0.898541797,57473834,57475627,ChrY
OIIa.chrY.v1.g390840,0,NA,NA,NA,NA,NA,57488187,57488579,ChrY
OIIa.chrY.v1.g390850,1.766881749,-1.721697482,5.781213888,-0.297808992,0.765848951,0.909098616,57500852,57501718,ChrY
OIIa.chrY.v1.g390860,0,NA,NA,NA,NA,NA,57612817,57613179,ChrY
OIIa.chrY.v1.g390870,0,NA,NA,NA,NA,NA,57667424,57668371,ChrY
OIIa.chrY.v1.g390880,0,NA,NA,NA,NA,NA,57669897,57672624,ChrY
OIIa.chrY.v1.g390910,71.27586935,-10.08791228,1.047067178,-9.63444609,5.72E-22,2.05E-19,57908439,57909290,ChrY
OIIa.chrY.v1.g390920,5.774903328,0.852745214,1.068697488,0.797929464,0.424911424,0.677686495,57924417,57924818,ChrY
OIIa.chrY.v1.g390930,0,NA,NA,NA,NA,NA,58033666,58034157,ChrY
OIIa.chrY.v1.g390950,0,NA,NA,NA,NA,NA,58178779,58178982,ChrY
OIIa.chrY.v1.g390960,0,NA,NA,NA,NA,NA,58234294,58235231,ChrY
OIIa.chrY.v1.g390970,100.8931645,-2.989261566,0.959317623,-3.116029034,0.001833042,0.015584923,58306182,58309513,ChrY
OIIa.chrY.v1.g391020,0,NA,NA,NA,NA,NA,58626766,58627164,ChrY
