gene,bin,bin_adv,dN/dS,species
CaSa_OIIb.chr4.v1.g216270.t1,Autosomal,Autosomal,1.08458,cannabis
CaSa_OIIb.chr6.v1.g267620.t1,Autosomal,Autosomal,1.04743,cannabis
CaSa_OIIb.chrX.v1.g419960.t1,X-linked,HXR,1.03785,cannabis
CaSa_OIIb.chr8.v1.g352820.t1,Autosomal,Autosomal,1.03166,cannabis
CaSa_OIIb.chr3.v1.g169200.t1,Autosomal,Autosomal,1.02204,cannabis
CaSa_OIIb.chrX.v1.g397530.t1,X-linked,PAR,1.01556,cannabis
CaSa_OIIb.chr8.v1.g353780.t1,Autosomal,Autosomal,1.0053,cannabis
CaSa_OIIb.chr2.v1.g141080.t1,Autosomal,Autosomal,1.00418,cannabis
CaSa_OIIb.chr2.v1.g139550.t1,Autosomal,Autosomal,0.99285,cannabis
CaSa_OIIb.chr1.v1.g081760.t1,Autosomal,Autosomal,0.96569,cannabis
CaSa_OIIb.chr3.v1.g150760.t1,Autosomal,Autosomal,0.95607,cannabis
CaSa_OIIb.chr4.v1.g204390.t1,Autosomal,Autosomal,0.94578,cannabis
CaSa_OIIb.chr8.v1.g345690.t1,Autosomal,Autosomal,0.92141,cannabis
CaSa_OIIb.chr9.v1.g365410.t1,Autosomal,Autosomal,0.91438,cannabis
CaSa_OIIb.chr3.v1.g178900.t1,Autosomal,Autosomal,0.9132,cannabis
CaSa_OIIb.chr1.v1.g084420.t1,Autosomal,Autosomal,0.9089,cannabis
CaSa_OIIb.chr4.v1.g208820.t1,Autosomal,Autosomal,0.89899,cannabis
CaSa_OIIb.chr8.v1.g343810.t1,Autosomal,Autosomal,0.89811,cannabis
CaSa_OIIb.chr3.v1.g148490.t1,Autosomal,Autosomal,0.89336,cannabis
CaSa_OIIb.chr1.v1.g081970.t1,Autosomal,Autosomal,0.88672,cannabis
CaSa_OIIb.chrX.v1.g436270.t1,X-linked,HXR,0.88655,cannabis
CaSa_OIIb.chr3.v1.g177470.t1,Autosomal,Autosomal,0.87189,cannabis
CaSa_OIIb.chr6.v1.g262910.t1,Autosomal,Autosomal,0.86725,cannabis
CaSa_OIIb.chr2.v1.g139760.t1,Autosomal,Autosomal,0.86008,cannabis
CaSa_OIIb.chr1.v1.g104170.t1,Autosomal,Autosomal,0.85417,cannabis
CaSa_OIIb.chr1.v1.g098310.t1,Autosomal,Autosomal,0.84747,cannabis
CaSa_OIIb.chr5.v1.g229480.t1,Autosomal,Autosomal,0.8471,cannabis
CaSa_OIIb.chr6.v1.g259710.t1,Autosomal,Autosomal,0.8469,cannabis
CaSa_OIIb.chr8.v1.g336540.t1,Autosomal,Autosomal,0.83784,cannabis
CaSa_OIIb.chrX.v1.g434360.t1,X-linked,HXR,0.83563,cannabis
CaSa_OIIb.chr4.v1.g216470.t1,Autosomal,Autosomal,0.82538,cannabis
CaSa_OIIb.chr8.v1.g346520.t1,Autosomal,Autosomal,0.8162,cannabis
CaSa_OIIb.chr2.v1.g113670.t1,Autosomal,Autosomal,0.8113,cannabis
CaSa_OIIb.chr3.v1.g149610.t1,Autosomal,Autosomal,0.79499,cannabis
CaSa_OIIb.chr1.v1.g066240.t1,Autosomal,Autosomal,0.79428,cannabis
CaSa_OIIb.chr1.v1.g061460.t1,Autosomal,Autosomal,0.7931,cannabis
CaSa_OIIb.chr5.v1.g244270.t1,Autosomal,Autosomal,0.79256,cannabis
CaSa_OIIb.chr7.v1.g293420.t1,Autosomal,Autosomal,0.78769,cannabis
CaSa_OIIb.chr5.v1.g230740.t1,Autosomal,Autosomal,0.78675,cannabis
CaSa_OIIb.chrX.v1.g396060.t1,X-linked,PAR,0.78623,cannabis
CaSa_OIIb.chr7.v1.g296680.t1,Autosomal,Autosomal,0.77552,cannabis
CaSa_OIIb.chr8.v1.g345800.t1,Autosomal,Autosomal,0.77511,cannabis
CaSa_OIIb.chr6.v1.g271720.t1,Autosomal,Autosomal,0.76978,cannabis
CaSa_OIIb.chr8.v1.g351390.t1,Autosomal,Autosomal,0.76974,cannabis
CaSa_OIIb.chr1.v1.g073340.t1,Autosomal,Autosomal,0.76925,cannabis
CaSa_OIIb.chrX.v1.g393430.t1,X-linked,PAR,0.76663,cannabis
CaSa_OIIb.chr2.v1.g138930.t1,Autosomal,Autosomal,0.76492,cannabis
CaSa_OIIb.chr3.v1.g174890.t1,Autosomal,Autosomal,0.75977,cannabis
CaSa_OIIb.chr2.v1.g133380.t1,Autosomal,Autosomal,0.75941,cannabis
CaSa_OIIb.chr1.v1.g064400.t1,Autosomal,Autosomal,0.75351,cannabis
CaSa_OIIb.chr1.v1.g066880.t1,Autosomal,Autosomal,0.74847,cannabis
CaSa_OIIb.chr1.v1.g080960.t1,Autosomal,Autosomal,0.74826,cannabis
CaSa_OIIb.chr4.v1.g191320.t1,Autosomal,Autosomal,0.74745,cannabis
CaSa_OIIb.chr1.v1.g101950.t1,Autosomal,Autosomal,0.74641,cannabis
CaSa_OIIb.chr3.v1.g169020.t1,Autosomal,Autosomal,0.74565,cannabis
CaSa_OIIb.chr8.v1.g340890.t1,Autosomal,Autosomal,0.74231,cannabis
CaSa_OIIb.chr9.v1.g359410.t1,Autosomal,Autosomal,0.74211,cannabis
CaSa_OIIb.chr5.v1.g234920.t1,Autosomal,Autosomal,0.73934,cannabis
CaSa_OIIb.chr8.v1.g335970.t1,Autosomal,Autosomal,0.73353,cannabis
CaSa_OIIb.chr8.v1.g350520.t1,Autosomal,Autosomal,0.73298,cannabis
CaSa_OIIb.chr4.v1.g219480.t1,Autosomal,Autosomal,0.7319,cannabis
CaSa_OIIb.chr2.v1.g136810.t1,Autosomal,Autosomal,0.7251,cannabis
CaSa_OIIb.chrX.v1.g434260.t1,X-linked,HXR,0.72398,cannabis
CaSa_OIIb.chr3.v1.g151260.t1,Autosomal,Autosomal,0.72105,cannabis
CaSa_OIIb.chrX.v1.g420960.t1,X-linked,HXR,0.71963,cannabis
CaSa_OIIb.chr7.v1.g298530.t1,Autosomal,Autosomal,0.71587,cannabis
CaSa_OIIb.chr2.v1.g119420.t1,Autosomal,Autosomal,0.71567,cannabis
CaSa_OIIb.chr2.v1.g116570.t1,Autosomal,Autosomal,0.71341,cannabis
CaSa_OIIb.chr6.v1.g268340.t1,Autosomal,Autosomal,0.71041,cannabis
CaSa_OIIb.chrX.v1.g430480.t1,X-linked,HXR,0.70415,cannabis
CaSa_OIIb.chrX.v1.g414790.t1,X-linked,HXR,0.70332,cannabis
CaSa_OIIb.chr8.v1.g330760.t1,Autosomal,Autosomal,0.70146,cannabis
CaSa_OIIb.chr1.v1.g087030.t1,Autosomal,Autosomal,0.69995,cannabis
CaSa_OIIb.chr1.v1.g099650.t1,Autosomal,Autosomal,0.69898,cannabis
CaSa_OIIb.chr4.v1.g213900.t1,Autosomal,Autosomal,0.69855,cannabis
CaSa_OIIb.chr4.v1.g183630.t1,Autosomal,Autosomal,0.69644,cannabis
CaSa_OIIb.chr1.v1.g100000.t1,Autosomal,Autosomal,0.69553,cannabis
CaSa_OIIb.chr3.v1.g165170.t1,Autosomal,Autosomal,0.69424,cannabis
CaSa_OIIb.chr4.v1.g207240.t1,Autosomal,Autosomal,0.69169,cannabis
CaSa_OIIb.chr1.v1.g088030.t1,Autosomal,Autosomal,0.69044,cannabis
CaSa_OIIb.chrX.v1.g437410.t1,X-linked,HXR,0.68911,cannabis
CaSa_OIIb.chr2.v1.g138590.t1,Autosomal,Autosomal,0.68882,cannabis
CaSa_OIIb.chr3.v1.g157610.t1,Autosomal,Autosomal,0.68564,cannabis
CaSa_OIIb.chr8.v1.g343230.t1,Autosomal,Autosomal,0.68451,cannabis
CaSa_OIIb.chr3.v1.g169490.t1,Autosomal,Autosomal,0.68405,cannabis
CaSa_OIIb.chr2.v1.g118930.t1,Autosomal,Autosomal,0.6824,cannabis
CaSa_OIIb.chr8.v1.g349030.t1,Autosomal,Autosomal,0.68204,cannabis
CaSa_OIIb.chr8.v1.g322700.t1,Autosomal,Autosomal,0.67938,cannabis
CaSa_OIIb.chr7.v1.g302510.t1,Autosomal,Autosomal,0.67882,cannabis
CaSa_OIIb.chr4.v1.g182540.t1,Autosomal,Autosomal,0.67816,cannabis
CaSa_OIIb.chr8.v1.g340560.t1,Autosomal,Autosomal,0.67709,cannabis
CaSa_OIIb.chr4.v1.g218600.t1,Autosomal,Autosomal,0.67542,cannabis
CaSa_OIIb.chr6.v1.g278480.t1,Autosomal,Autosomal,0.67262,cannabis
CaSa_OIIb.chr1.v1.g067340.t1,Autosomal,Autosomal,0.67247,cannabis
CaSa_OIIb.chrX.v1.g397570.t1,X-linked,PAR,0.67173,cannabis
CaSa_OIIb.chr9.v1.g366360.t1,Autosomal,Autosomal,0.66849,cannabis
CaSa_OIIb.chr2.v1.g111300.t1,Autosomal,Autosomal,0.6638,cannabis
CaSa_OIIb.chr1.v1.g098730.t1,Autosomal,Autosomal,0.66101,cannabis
CaSa_OIIb.chrX.v1.g421100.t1,X-linked,HXR,0.66008,cannabis
CaSa_OIIb.chr9.v1.g363180.t1,Autosomal,Autosomal,0.65984,cannabis
CaSa_OIIb.chr3.v1.g180620.t1,Autosomal,Autosomal,0.65983,cannabis
CaSa_OIIb.chr7.v1.g300500.t1,Autosomal,Autosomal,0.65722,cannabis
CaSa_OIIb.chr3.v1.g149770.t1,Autosomal,Autosomal,0.65318,cannabis
CaSa_OIIb.chr8.v1.g327180.t1,Autosomal,Autosomal,0.65258,cannabis
CaSa_OIIb.chr1.v1.g079680.t1,Autosomal,Autosomal,0.65086,cannabis
CaSa_OIIb.chr2.v1.g136880.t1,Autosomal,Autosomal,0.65055,cannabis
CaSa_OIIb.chrX.v1.g394410.t1,X-linked,PAR,0.6494,cannabis
CaSa_OIIb.chr4.v1.g200550.t1,Autosomal,Autosomal,0.6483,cannabis
CaSa_OIIb.chr8.v1.g336240.t1,Autosomal,Autosomal,0.64759,cannabis
CaSa_OIIb.chr4.v1.g221070.t1,Autosomal,Autosomal,0.64545,cannabis
CaSa_OIIb.chr9.v1.g382150.t1,Autosomal,Autosomal,0.64462,cannabis
CaSa_OIIb.chr2.v1.g137830.t1,Autosomal,Autosomal,0.64455,cannabis
CaSa_OIIb.chr5.v1.g228370.t1,Autosomal,Autosomal,0.64378,cannabis
CaSa_OIIb.chr5.v1.g251540.t1,Autosomal,Autosomal,0.64345,cannabis
CaSa_OIIb.chr3.v1.g158400.t1,Autosomal,Autosomal,0.64225,cannabis
CaSa_OIIb.chrX.v1.g399330.t1,X-linked,PAR,0.64137,cannabis
CaSa_OIIb.chr9.v1.g362290.t1,Autosomal,Autosomal,0.64051,cannabis
CaSa_OIIb.chr9.v1.g365350.t1,Autosomal,Autosomal,0.64021,cannabis
CaSa_OIIb.chr1.v1.g083410.t1,Autosomal,Autosomal,0.64005,cannabis
CaSa_OIIb.chrX.v1.g435050.t1,X-linked,HXR,0.6395,cannabis
CaSa_OIIb.chr6.v1.g277980.t1,Autosomal,Autosomal,0.63871,cannabis
CaSa_OIIb.chr8.v1.g350640.t1,Autosomal,Autosomal,0.63744,cannabis
CaSa_OIIb.chr8.v1.g342460.t1,Autosomal,Autosomal,0.63734,cannabis
CaSa_OIIb.chr8.v1.g341410.t1,Autosomal,Autosomal,0.62968,cannabis
CaSa_OIIb.chr8.v1.g349490.t1,Autosomal,Autosomal,0.62949,cannabis
CaSa_OIIb.chrX.v1.g439450.t1,X-linked,HXR,0.62914,cannabis
CaSa_OIIb.chr9.v1.g366990.t1,Autosomal,Autosomal,0.62711,cannabis
CaSa_OIIb.chrX.v1.g436280.t1,X-linked,HXR,0.62468,cannabis
CaSa_OIIb.chr4.v1.g217800.t1,Autosomal,Autosomal,0.6186,cannabis
CaSa_OIIb.chr4.v1.g219920.t1,Autosomal,Autosomal,0.61844,cannabis
CaSa_OIIb.chr5.v1.g229870.t1,Autosomal,Autosomal,0.61502,cannabis
CaSa_OIIb.chr1.v1.g089680.t1,Autosomal,Autosomal,0.61388,cannabis
CaSa_OIIb.chr1.v1.g092530.t1,Autosomal,Autosomal,0.61015,cannabis
CaSa_OIIb.chr2.v1.g131180.t1,Autosomal,Autosomal,0.60964,cannabis
CaSa_OIIb.chr5.v1.g243940.t1,Autosomal,Autosomal,0.60903,cannabis
CaSa_OIIb.chr2.v1.g129730.t1,Autosomal,Autosomal,0.60778,cannabis
CaSa_OIIb.chr4.v1.g190670.t1,Autosomal,Autosomal,0.60744,cannabis
CaSa_OIIb.chr9.v1.g362720.t1,Autosomal,Autosomal,0.60725,cannabis
CaSa_OIIb.chr2.v1.g113920.t1,Autosomal,Autosomal,0.60686,cannabis
CaSa_OIIb.chr6.v1.g282340.t1,Autosomal,Autosomal,0.60678,cannabis
CaSa_OIIb.chr8.v1.g345550.t1,Autosomal,Autosomal,0.60675,cannabis
CaSa_OIIb.chr8.v1.g330740.t1,Autosomal,Autosomal,0.60663,cannabis
CaSa_OIIb.chr5.v1.g239800.t1,Autosomal,Autosomal,0.60632,cannabis
CaSa_OIIb.chr4.v1.g187370.t1,Autosomal,Autosomal,0.60511,cannabis
CaSa_OIIb.chr3.v1.g148480.t1,Autosomal,Autosomal,0.60505,cannabis
CaSa_OIIb.chr9.v1.g372880.t1,Autosomal,Autosomal,0.60472,cannabis
CaSa_OIIb.chrX.v1.g435280.t1,X-linked,HXR,0.6039,cannabis
CaSa_OIIb.chr1.v1.g089250.t1,Autosomal,Autosomal,0.60319,cannabis
CaSa_OIIb.chr1.v1.g101430.t1,Autosomal,Autosomal,0.6024,cannabis
CaSa_OIIb.chr9.v1.g372260.t1,Autosomal,Autosomal,0.60179,cannabis
CaSa_OIIb.chr1.v1.g064410.t1,Autosomal,Autosomal,0.60141,cannabis
CaSa_OIIb.chrX.v1.g398580.t1,X-linked,PAR,0.60044,cannabis
CaSa_OIIb.chr9.v1.g365820.t1,Autosomal,Autosomal,0.59955,cannabis
CaSa_OIIb.chr1.v1.g066130.t1,Autosomal,Autosomal,0.59938,cannabis
CaSa_OIIb.chr9.v1.g380840.t1,Autosomal,Autosomal,0.59891,cannabis
CaSa_OIIb.chr6.v1.g285090.t1,Autosomal,Autosomal,0.59697,cannabis
CaSa_OIIb.chr8.v1.g351520.t1,Autosomal,Autosomal,0.59611,cannabis
CaSa_OIIb.chr4.v1.g182790.t1,Autosomal,Autosomal,0.59474,cannabis
CaSa_OIIb.chr3.v1.g150150.t1,Autosomal,Autosomal,0.59399,cannabis
CaSa_OIIb.chrX.v1.g434370.t1,X-linked,HXR,0.59366,cannabis
CaSa_OIIb.chr8.v1.g344150.t1,Autosomal,Autosomal,0.59206,cannabis
CaSa_OIIb.chr8.v1.g350770.t1,Autosomal,Autosomal,0.59205,cannabis
CaSa_OIIb.chr1.v1.g067920.t1,Autosomal,Autosomal,0.59033,cannabis
CaSa_OIIb.chr2.v1.g135250.t1,Autosomal,Autosomal,0.5901,cannabis
CaSa_OIIb.chr3.v1.g156500.t1,Autosomal,Autosomal,0.58929,cannabis
CaSa_OIIb.chr1.v1.g073060.t1,Autosomal,Autosomal,0.58917,cannabis
CaSa_OIIb.chr6.v1.g289100.t1,Autosomal,Autosomal,0.58694,cannabis
CaSa_OIIb.chr7.v1.g294110.t1,Autosomal,Autosomal,0.58392,cannabis
CaSa_OIIb.chr1.v1.g089310.t1,Autosomal,Autosomal,0.58375,cannabis
CaSa_OIIb.chr5.v1.g223150.t1,Autosomal,Autosomal,0.58024,cannabis
CaSa_OIIb.chr1.v1.g085010.t1,Autosomal,Autosomal,0.57988,cannabis
CaSa_OIIb.chr1.v1.g089340.t1,Autosomal,Autosomal,0.57968,cannabis
CaSa_OIIb.chr1.v1.g102850.t1,Autosomal,Autosomal,0.57876,cannabis
CaSa_OIIb.chr8.v1.g346210.t1,Autosomal,Autosomal,0.57846,cannabis
CaSa_OIIb.chr8.v1.g346070.t1,Autosomal,Autosomal,0.57693,cannabis
CaSa_OIIb.chr7.v1.g297980.t1,Autosomal,Autosomal,0.57453,cannabis
CaSa_OIIb.chr2.v1.g131190.t2,Autosomal,Autosomal,0.57443,cannabis
CaSa_OIIb.chr8.v1.g351110.t1,Autosomal,Autosomal,0.57419,cannabis
CaSa_OIIb.chr5.v1.g250090.t1,Autosomal,Autosomal,0.57265,cannabis
CaSa_OIIb.chr4.v1.g188380.t1,Autosomal,Autosomal,0.57253,cannabis
CaSa_OIIb.chr1.v1.g103460.t1,Autosomal,Autosomal,0.56778,cannabis
CaSa_OIIb.chr9.v1.g366380.t1,Autosomal,Autosomal,0.56774,cannabis
CaSa_OIIb.chrX.v1.g437910.t1,X-linked,HXR,0.5676,cannabis
CaSa_OIIb.chr3.v1.g170350.t1,Autosomal,Autosomal,0.56689,cannabis
CaSa_OIIb.chrX.v1.g394890.t1,X-linked,PAR,0.56653,cannabis
CaSa_OIIb.chr7.v1.g294510.t1,Autosomal,Autosomal,0.5634,cannabis
CaSa_OIIb.chr1.v1.g096980.t1,Autosomal,Autosomal,0.56265,cannabis
CaSa_OIIb.chr1.v1.g087090.t1,Autosomal,Autosomal,0.56228,cannabis
CaSa_OIIb.chr8.v1.g350340.t1,Autosomal,Autosomal,0.5616,cannabis
CaSa_OIIb.chr8.v1.g351410.t1,Autosomal,Autosomal,0.56092,cannabis
CaSa_OIIb.chr1.v1.g090170.t1,Autosomal,Autosomal,0.56037,cannabis
CaSa_OIIb.chr5.v1.g237930.t1,Autosomal,Autosomal,0.55936,cannabis
CaSa_OIIb.chr1.v1.g091180.t1,Autosomal,Autosomal,0.55922,cannabis
CaSa_OIIb.chr8.v1.g334010.t1,Autosomal,Autosomal,0.55791,cannabis
CaSa_OIIb.chr1.v1.g086470.t1,Autosomal,Autosomal,0.55757,cannabis
CaSa_OIIb.chr8.v1.g335550.t1,Autosomal,Autosomal,0.55751,cannabis
CaSa_OIIb.chr4.v1.g187420.t1,Autosomal,Autosomal,0.5562,cannabis
CaSa_OIIb.chr3.v1.g159010.t1,Autosomal,Autosomal,0.55424,cannabis
CaSa_OIIb.chr4.v1.g216410.t1,Autosomal,Autosomal,0.55419,cannabis
CaSa_OIIb.chr1.v1.g082020.t1,Autosomal,Autosomal,0.55414,cannabis
CaSa_OIIb.chr1.v1.g095580.t1,Autosomal,Autosomal,0.55328,cannabis
CaSa_OIIb.chr5.v1.g250190.t1,Autosomal,Autosomal,0.54835,cannabis
CaSa_OIIb.chr5.v1.g224990.t1,Autosomal,Autosomal,0.54721,cannabis
CaSa_OIIb.chr3.v1.g148660.t1,Autosomal,Autosomal,0.5463,cannabis
CaSa_OIIb.chr1.v1.g103450.t1,Autosomal,Autosomal,0.54623,cannabis
CaSa_OIIb.chr4.v1.g195690.t1,Autosomal,Autosomal,0.5459,cannabis
CaSa_OIIb.chr5.v1.g232850.t1,Autosomal,Autosomal,0.54577,cannabis
CaSa_OIIb.chr1.v1.g065100.t1,Autosomal,Autosomal,0.54499,cannabis
CaSa_OIIb.chr4.v1.g184090.t1,Autosomal,Autosomal,0.54412,cannabis
CaSa_OIIb.chrX.v1.g431800.t1,X-linked,HXR,0.54361,cannabis
CaSa_OIIb.chr8.v1.g321960.t1,Autosomal,Autosomal,0.54304,cannabis
CaSa_OIIb.chr1.v1.g062050.t1,Autosomal,Autosomal,0.5427,cannabis
CaSa_OIIb.chr7.v1.g299790.t1,Autosomal,Autosomal,0.54187,cannabis
CaSa_OIIb.chrX.v1.g423610.t1,X-linked,HXR,0.54089,cannabis
CaSa_OIIb.chrX.v1.g438550.t1,X-linked,HXR,0.54081,cannabis
CaSa_OIIb.chr8.v1.g352570.t1,Autosomal,Autosomal,0.54075,cannabis
CaSa_OIIb.chr3.v1.g150750.t1,Autosomal,Autosomal,0.54059,cannabis
CaSa_OIIb.chr4.v1.g219420.t1,Autosomal,Autosomal,0.53993,cannabis
CaSa_OIIb.chr6.v1.g270760.t1,Autosomal,Autosomal,0.53855,cannabis
CaSa_OIIb.chr4.v1.g206030.t1,Autosomal,Autosomal,0.53831,cannabis
CaSa_OIIb.chr3.v1.g159720.t1,Autosomal,Autosomal,0.53799,cannabis
CaSa_OIIb.chr5.v1.g252220.t1,Autosomal,Autosomal,0.53664,cannabis
CaSa_OIIb.chrX.v1.g396050.t1,X-linked,PAR,0.53619,cannabis
CaSa_OIIb.chr3.v1.g159510.t1,Autosomal,Autosomal,0.5361,cannabis
CaSa_OIIb.chr7.v1.g319180.t1,Autosomal,Autosomal,0.53421,cannabis
CaSa_OIIb.chrX.v1.g412260.t1,X-linked,PAR,0.53414,cannabis
CaSa_OIIb.chr2.v1.g126670.t1,Autosomal,Autosomal,0.53385,cannabis
CaSa_OIIb.chr1.v1.g089560.t1,Autosomal,Autosomal,0.53373,cannabis
CaSa_OIIb.chr3.v1.g177900.t1,Autosomal,Autosomal,0.53319,cannabis
CaSa_OIIb.chr7.v1.g304300.t1,Autosomal,Autosomal,0.53292,cannabis
CaSa_OIIb.chr5.v1.g237350.t1,Autosomal,Autosomal,0.53234,cannabis
CaSa_OIIb.chr4.v1.g208520.t1,Autosomal,Autosomal,0.53172,cannabis
CaSa_OIIb.chr5.v1.g235030.t1,Autosomal,Autosomal,0.53164,cannabis
CaSa_OIIb.chr5.v1.g245140.t1,Autosomal,Autosomal,0.53071,cannabis
CaSa_OIIb.chr2.v1.g110930.t1,Autosomal,Autosomal,0.53059,cannabis
CaSa_OIIb.chr1.v1.g091820.t1,Autosomal,Autosomal,0.52917,cannabis
CaSa_OIIb.chrX.v1.g439620.t1,X-linked,HXR,0.5289,cannabis
CaSa_OIIb.chr4.v1.g185940.t1,Autosomal,Autosomal,0.52828,cannabis
CaSa_OIIb.chr1.v1.g103610.t1,Autosomal,Autosomal,0.52682,cannabis
CaSa_OIIb.chr2.v1.g120850.t1,Autosomal,Autosomal,0.52625,cannabis
CaSa_OIIb.chr4.v1.g184320.t1,Autosomal,Autosomal,0.52623,cannabis
CaSa_OIIb.chr9.v1.g372060.t1,Autosomal,Autosomal,0.52517,cannabis
CaSa_OIIb.chrX.v1.g392870.t1,X-linked,PAR,0.52434,cannabis
CaSa_OIIb.chr3.v1.g150690.t1,Autosomal,Autosomal,0.52407,cannabis
CaSa_OIIb.chr3.v1.g174490.t1,Autosomal,Autosomal,0.52402,cannabis
CaSa_OIIb.chr6.v1.g269370.t1,Autosomal,Autosomal,0.52399,cannabis
CaSa_OIIb.chr8.v1.g355480.t1,Autosomal,Autosomal,0.52331,cannabis
CaSa_OIIb.chrX.v1.g429920.t1,X-linked,HXR,0.5223,cannabis
CaSa_OIIb.chr4.v1.g213310.t1,Autosomal,Autosomal,0.522,cannabis
CaSa_OIIb.chr4.v1.g189970.t1,Autosomal,Autosomal,0.52178,cannabis
CaSa_OIIb.chr7.v1.g302490.t1,Autosomal,Autosomal,0.52141,cannabis
CaSa_OIIb.chr4.v1.g212580.t1,Autosomal,Autosomal,0.52139,cannabis
CaSa_OIIb.chr1.v1.g094730.t1,Autosomal,Autosomal,0.51987,cannabis
CaSa_OIIb.chr5.v1.g253850.t1,Autosomal,Autosomal,0.51984,cannabis
CaSa_OIIb.chr6.v1.g277970.t1,Autosomal,Autosomal,0.51965,cannabis
CaSa_OIIb.chr8.v1.g346710.t1,Autosomal,Autosomal,0.51836,cannabis
CaSa_OIIb.chr6.v1.g273470.t1,Autosomal,Autosomal,0.51823,cannabis
CaSa_OIIb.chr5.v1.g235810.t1,Autosomal,Autosomal,0.51727,cannabis
CaSa_OIIb.chrX.v1.g393160.t1,X-linked,PAR,0.51722,cannabis
CaSa_OIIb.chr1.v1.g072170.t1,Autosomal,Autosomal,0.51714,cannabis
CaSa_OIIb.chr1.v1.g100230.t1,Autosomal,Autosomal,0.51706,cannabis
CaSa_OIIb.chr8.v1.g341550.t1,Autosomal,Autosomal,0.51698,cannabis
CaSa_OIIb.chr5.v1.g240310.t1,Autosomal,Autosomal,0.51618,cannabis
CaSa_OIIb.chr3.v1.g167340.t1,Autosomal,Autosomal,0.51556,cannabis
CaSa_OIIb.chr7.v1.g292270.t1,Autosomal,Autosomal,0.51546,cannabis
CaSa_OIIb.chr1.v1.g066950.t1,Autosomal,Autosomal,0.51502,cannabis
CaSa_OIIb.chr5.v1.g224760.t1,Autosomal,Autosomal,0.51428,cannabis
CaSa_OIIb.chr8.v1.g328200.t1,Autosomal,Autosomal,0.51424,cannabis
CaSa_OIIb.chr1.v1.g089330.t1,Autosomal,Autosomal,0.51347,cannabis
CaSa_OIIb.chr6.v1.g261150.t1,Autosomal,Autosomal,0.51314,cannabis
CaSa_OIIb.chr1.v1.g078460.t1,Autosomal,Autosomal,0.51202,cannabis
CaSa_OIIb.chr1.v1.g103160.t1,Autosomal,Autosomal,0.51157,cannabis
CaSa_OIIb.chr8.v1.g343150.t1,Autosomal,Autosomal,0.51127,cannabis
CaSa_OIIb.chr8.v1.g325790.t1,Autosomal,Autosomal,0.51092,cannabis
CaSa_OIIb.chr6.v1.g272560.t1,Autosomal,Autosomal,0.5103,cannabis
CaSa_OIIb.chrX.v1.g401790.t1,X-linked,PAR,0.50993,cannabis
CaSa_OIIb.chrX.v1.g426990.t1,X-linked,HXR,0.50964,cannabis
CaSa_OIIb.chrX.v1.g420650.t1,X-linked,HXR,0.50957,cannabis
CaSa_OIIb.chr1.v1.g098580.t1,Autosomal,Autosomal,0.50946,cannabis
CaSa_OIIb.chr1.v1.g088140.t1,Autosomal,Autosomal,0.50894,cannabis
CaSa_OIIb.chr2.v1.g123130.t1,Autosomal,Autosomal,0.50882,cannabis
CaSa_OIIb.chr2.v1.g108320.t1,Autosomal,Autosomal,0.50822,cannabis
CaSa_OIIb.chr1.v1.g086290.t1,Autosomal,Autosomal,0.50802,cannabis
CaSa_OIIb.chr1.v1.g089760.t1,Autosomal,Autosomal,0.50767,cannabis
